distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,Salesman.Pendur Laxman  Talamadugu,4,2020,37,1053,0,1090,124,3304,0,3428,1587,39648,0,41235,0,1602,0,1602,1587,38046,0,39633,0,0,0,0,0,100.0,1587,38046,0,39633
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,4,2020,18,554,0,572,65,1833,0,1898,824,21996,0,22820,0,582,0,582,824,21414,0,22238,0,0,0,0,0,100.0,824,21414,0,22238
532,Adilabad,532001,Talamadugu,1901003,Gajanan  Umdam,4,2020,17,273,0,290,63,914,0,977,800,10968,0,11768,35,612,0,647,765,10356,0,11121,0,0,0,0,0,100.0,765,10356,0,11121
532,Adilabad,532001,Talamadugu,1901004,R.Rakesh  Lingi,4,2020,14,382,1,397,47,1308,1,1356,575,15696,12,16283,0,444,0,444,575,15252,12,15839,0,0,0,0,0,100.0,575,15252,12,15839
532,Adilabad,532001,Talamadugu,1901005,Manohar  Kuchulapur,4,2020,148,774,0,922,521,2770,0,3291,6631,33240,0,39871,70,582,0,652,6561,32658,0,39219,0,0,0,0,0,100.0,6561,32658,0,39219
532,Adilabad,532001,Talamadugu,1901006,K.Subash  Khodad,4,2020,37,482,0,519,111,1538,0,1649,1476,18456,0,19932,0,462,0,462,1476,17994,0,19470,0,0,0,0,0,100.0,1476,17994,0,19470
532,Adilabad,532001,Talamadugu,1901007,B.Swarupa  Ruyyadi,4,2020,9,534,0,543,35,1683,0,1718,442,20196,0,20638,0,1200,0,1200,442,18996,0,19438,0,0,0,0,0,100.0,442,18996,0,19438
532,Adilabad,532001,Talamadugu,1901008,Salesman.Bharath  Umri,4,2020,68,296,0,364,218,978,0,1196,2894,11736,0,14630,105,426,0,531,2789,11310,0,14099,0,0,0,0,0,100.0,2789,11310,0,14099
532,Adilabad,532001,Talamadugu,1901009,Salesman.Bharath  Palsi-B,4,2020,19,316,0,335,69,1189,0,1258,850,14268,0,15118,0,222,0,222,850,14046,0,14896,0,0,0,0,0,100.0,850,14046,0,14896
532,Adilabad,532001,Talamadugu,1901010,G.Jyothi  Bharampur,4,2020,115,783,0,898,395,2769,0,3164,5130,33228,0,38358,105,822,0,927,5025,32406,0,37431,0,0,0,0,0,100.0,5025,32406,0,37431
532,Adilabad,532001,Talamadugu,1901011,Ganganna  Khajjarla,4,2020,5,575,1,581,13,1865,1,1879,201,22380,12,22593,70,1182,10,1262,131,21198,2,21331,0,0,0,0,0,100.0,131,21198,2,21331
532,Adilabad,532001,Talamadugu,1901012,MD.Musa  Devapur,4,2020,29,809,0,838,73,2715,0,2788,1124,32580,0,33704,35,990,0,1025,1089,31590,0,32679,0,0,0,0,0,100.0,1089,31590,0,32679
532,Adilabad,532001,Talamadugu,1901013,K.Ramulu  Palli -B,4,2020,23,412,0,435,72,1435,0,1507,987,17220,0,18207,0,654,0,654,987,16566,0,17553,0,0,0,0,0,100.0,987,16566,0,17553
