distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,DR Depo TALAMADUGU  Talamadugu,6,2025,39,1068,0,1107,129,3298,0,3427,4095,59364,0,63459,35,2016,0,2051,4060,57348,0,61408,0,0,0,0,0,100.0,4060,57348,0,61408
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,6,2025,20,564,0,584,72,1830,0,1902,2100,32940,0,35040,0,912,0,912,2100,32028,0,34128,0,0,0,0,0,100.0,2100,32028,0,34128
532,Adilabad,532001,Talamadugu,1901003,Sakipelli Gajanan  Umdam,6,2025,17,275,0,292,64,896,0,960,1785,16128,0,17913,15,270,0,285,1770,15858,0,17628,0,0,0,0,0,100.0,1770,15858,0,17628
532,Adilabad,532001,Talamadugu,1901004,Rebbathi Rakesh  Lingi,6,2025,14,390,1,405,51,1367,1,1419,1470,24606,30,26106,0,654,0,654,1470,23952,30,25452,0,0,0,0,0,100.0,1470,23952,30,25452
532,Adilabad,532001,Talamadugu,1901005,T Manohar  Kuchulapur,6,2025,155,840,0,995,535,2872,0,3407,16275,51696,0,67971,210,1080,0,1290,16065,50616,0,66681,0,0,0,0,0,100.0,16065,50616,0,66681
532,Adilabad,532001,Talamadugu,1901006,K Subash  Khodad,6,2025,40,490,0,530,130,1522,0,1652,4200,27396,0,31596,105,480,0,585,4095,26916,0,31011,0,0,0,0,0,100.0,4095,26916,0,31011
532,Adilabad,532001,Talamadugu,1901007,Bitla Swaroopa  Ruyyadi,6,2025,10,541,0,551,37,1675,0,1712,1050,30150,0,31200,0,1116,0,1116,1050,29034,0,30084,0,0,0,0,0,100.0,1050,29034,0,30084
532,Adilabad,532001,Talamadugu,1901008,DR DEPO UMRI  Umri,6,2025,64,304,0,368,205,1011,0,1216,6720,18198,0,24918,0,102,0,102,6720,18096,0,24816,0,0,0,0,0,100.0,6720,18096,0,24816
532,Adilabad,532001,Talamadugu,1901009,DR DEPO PALSI B  Palsi-B,6,2025,24,313,0,337,95,1180,0,1275,2520,21240,0,23760,40,312,0,352,2480,20928,0,23408,0,0,0,0,0,100.0,2480,20928,0,23408
532,Adilabad,532001,Talamadugu,1901010,G Jyothi  Bharampur,6,2025,116,802,0,918,409,2849,0,3258,12180,51282,0,63462,35,1002,0,1037,12145,50280,0,62425,0,0,0,0,0,100.0,12145,50280,0,62425
