distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532001,Talamadugu,1901001,DR Depo TALAMADUGU  Talamadugu,78.391212,19.641643,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,78.422012,19.669093,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901003,Sakipelli Gajanan  Umdam,78.427186,19.664645,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901004,Rebbathi Rakesh  Lingi,78.381016,19.696032,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901005,T Manohar  Kuchulapur,78.351118,19.697063,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901006,K Subash  Khodad,78.467987,19.673668,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901007,Bitla Swaroopa  Ruyyadi,78.415618,19.639320,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901008,DR DEPO UMRI  Umri,78.324684,19.636300,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901009,DR DEPO PALSI B  Palsi-B,78.328624,19.657731,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901010,G Jyothi  Bharampur,78.411806,19.598022,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901011,Md Musa  Khajjarla,78.463200,19.635736,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901012,Md Musa  Devapur,78.521736,19.654418,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901013,K Ramulu  Palli -B,78.440226,19.574582,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901014,A Shamrao  Palli -K,78.428362,19.566808,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532001,Talamadugu,1901015,Kandi Narendar  Arli -K,78.421738,19.615546,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
