DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
01,91,Adilabad,Adilabad,01,Bheempoor,568945,0000,VILLAGE,Karanji (T),Rural,504,2232,1104,1128,252,118,134,258,118,140,795,408,387,1168,676,492,1064,428,636,1379,721,658,1212,674,538,696,434,262,438,189,249,11,4,7,67,47,20,167,47,120,12,8,4,153,39,114,1,0,1,1,0,1,109,36,73,12,8,4,96,28,68,0,0,0,1,0,1,58,11,47,0,0,0,57,11,46,1,0,1,0,0,0,853,383,470
01,91,Adilabad,Adilabad,01,Bheempoor,568946,0000,VILLAGE,Guledi,Rural,117,509,254,255,73,32,41,18,7,11,117,57,60,249,144,105,260,110,150,375,190,185,371,188,183,160,79,81,206,107,99,0,0,0,5,2,3,4,2,2,3,2,1,0,0,0,1,0,1,0,0,0,4,2,2,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,64,70
01,91,Adilabad,Adilabad,01,Bheempoor,568947,0000,VILLAGE,Gomutri,Rural,247,1102,551,551,132,72,60,78,46,32,348,183,165,508,317,191,594,234,360,665,347,318,595,319,276,301,166,135,234,114,120,18,10,8,42,29,13,70,28,42,4,2,2,21,7,14,2,2,0,43,17,26,66,28,38,4,2,2,19,7,12,2,2,0,41,17,24,4,0,4,0,0,0,2,0,2,0,0,0,2,0,2,437,204,233
01,91,Adilabad,Adilabad,01,Bheempoor,568948,0000,VILLAGE,Antargaon,Rural,208,875,445,430,104,55,49,96,47,49,129,70,59,435,273,162,440,172,268,559,287,272,525,279,246,323,173,150,166,75,91,1,1,0,35,30,5,34,8,26,13,3,10,18,2,16,1,1,0,2,2,0,34,8,26,13,3,10,18,2,16,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,158,158
01,91,Adilabad,Adilabad,01,Bheempoor,568949,0000,VILLAGE,Arli (T),Rural,614,2833,1428,1405,355,192,163,148,75,73,1073,534,539,1351,799,552,1482,629,853,1787,909,878,1748,895,853,906,484,422,700,310,390,29,19,10,113,82,31,39,14,25,7,0,7,24,9,15,0,0,0,8,5,3,39,14,25,7,0,7,24,9,15,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,519,527
01,91,Adilabad,Adilabad,01,Bheempoor,568950,0000,VILLAGE,Wadoor,Rural,299,1194,592,602,131,72,59,154,65,89,106,51,55,522,296,226,672,296,376,697,352,345,593,343,250,165,123,42,374,181,193,5,4,1,49,35,14,104,9,95,50,0,50,43,6,37,0,0,0,11,3,8,88,6,82,42,0,42,36,3,33,0,0,0,10,3,7,16,3,13,8,0,8,7,3,4,0,0,0,1,0,1,497,240,257
01,91,Adilabad,Adilabad,01,Bheempoor,568951,0000,VILLAGE,Dhanora,Rural,248,1052,528,524,118,67,51,189,91,98,84,43,41,490,266,224,562,262,300,578,305,273,545,288,257,158,105,53,353,161,192,0,0,0,34,22,12,33,17,16,0,0,0,7,5,2,2,1,1,24,11,13,16,10,6,0,0,0,7,5,2,2,1,1,7,4,3,17,7,10,0,0,0,0,0,0,0,0,0,17,7,10,474,223,251
01,91,Adilabad,Adilabad,01,Bheempoor,568952,0000,VILLAGE,Kamathwada,Rural,89,371,181,190,37,19,18,0,0,0,288,142,146,171,92,79,200,89,111,182,101,81,138,75,63,36,21,15,91,49,42,4,1,3,7,4,3,44,26,18,14,8,6,27,16,11,0,0,0,3,2,1,44,26,18,14,8,6,27,16,11,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,80,109
01,91,Adilabad,Adilabad,01,Bheempoor,568953,0000,VILLAGE,Gona,Rural,106,469,225,244,63,33,30,11,5,6,210,102,108,267,137,130,202,88,114,240,138,102,240,138,102,26,26,0,174,81,93,0,0,0,40,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,87,142
01,91,Adilabad,Adilabad,01,Bheempoor,568954,0000,VILLAGE,Gunjala,Rural,201,876,474,402,120,79,41,35,19,16,827,446,381,427,264,163,449,210,239,481,254,227,471,247,224,419,217,202,37,19,18,2,0,2,13,11,2,10,7,3,1,1,0,3,1,2,0,0,0,6,5,1,7,4,3,0,0,0,3,1,2,0,0,0,4,3,1,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,395,220,175
