DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578813,0000,VILLAGE,Anantharam,Rural,389,1513,707,806,139,67,72,271,120,151,685,325,360,774,423,351,739,284,455,822,374,448,675,316,359,219,101,118,430,199,231,3,2,1,23,14,9,147,58,89,8,3,5,135,54,81,1,0,1,3,1,2,147,58,89,8,3,5,135,54,81,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,333,358
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578814,0000,VILLAGE,Samath Mothe,Rural,1417,5401,2705,2696,524,270,254,1571,789,782,3471,1731,1740,2677,1617,1060,2724,1088,1636,3287,1625,1662,2307,1162,1145,633,463,170,1575,630,945,19,14,5,80,55,25,980,463,517,86,51,35,852,385,467,7,4,3,35,23,12,919,436,483,84,51,33,804,366,438,3,3,0,28,16,12,61,27,34,2,0,2,48,19,29,4,1,3,7,7,0,2114,1080,1034
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578815,0000,VILLAGE,Mothe,Rural,100,465,234,231,53,26,27,29,15,14,3,0,3,224,132,92,241,102,139,274,135,139,271,133,138,228,111,117,26,12,14,1,0,1,16,10,6,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,99,92
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578816,0000,VILLAGE,Regalla,Rural,233,1016,529,487,136,74,62,3,1,2,1004,524,480,405,249,156,611,280,331,604,299,305,494,266,228,359,231,128,128,31,97,7,4,3,0,0,0,110,33,77,3,1,2,106,32,74,1,0,1,0,0,0,102,30,72,3,1,2,98,29,69,1,0,1,0,0,0,8,3,5,0,0,0,8,3,5,0,0,0,0,0,0,412,230,182
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578817,0000,VILLAGE,Samathbhattupalli,Rural,507,1978,1000,978,167,87,80,174,86,88,1618,821,797,1067,628,439,911,372,539,1224,600,624,856,436,420,576,348,228,241,64,177,8,3,5,31,21,10,368,164,204,12,8,4,328,149,179,3,1,2,25,6,19,358,160,198,12,8,4,325,148,177,1,0,1,20,4,16,10,4,6,0,0,0,3,1,2,2,1,1,5,2,3,754,400,354
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578818,0000,VILLAGE,Bhattupalle,Rural,346,1318,650,668,114,57,57,95,44,51,256,123,133,732,413,319,586,237,349,710,369,341,689,359,330,31,28,3,622,301,321,10,9,1,26,21,5,21,10,11,2,1,1,14,6,8,3,1,2,2,2,0,20,10,10,2,1,1,14,6,8,2,1,1,2,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,608,281,327
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578819,0000,VILLAGE,Karakagudem,Rural,405,1504,779,725,157,95,62,258,127,131,243,118,125,903,520,383,601,259,342,844,416,428,677,393,284,120,98,22,454,220,234,20,15,5,83,60,23,167,23,144,9,4,5,141,15,126,6,1,5,11,3,8,166,22,144,8,3,5,141,15,126,6,1,5,11,3,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,660,363,297
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578820,0000,VILLAGE,Kalvalanagaram,Rural,84,320,168,152,26,15,11,18,10,8,228,119,109,164,101,63,156,67,89,187,92,95,187,92,95,4,2,2,178,88,90,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,76,57
09,92,Bhadrachalam,Bhadradri Kothagudem,01,Karakagudem,578821,0000,VILLAGE,Chirumalla,Rural,366,1706,1003,703,128,66,62,198,101,97,1375,837,538,1030,724,306,676,279,397,804,401,403,751,379,372,439,242,197,266,102,164,3,0,3,43,35,8,53,22,31,4,1,3,45,19,26,1,1,0,3,1,2,48,20,28,4,1,3,40,17,23,1,1,0,3,1,2,5,2,3,0,0,0,5,2,3,0,0,0,0,0,0,902,602,300
09,92,Bhadrachalam,Bhadradri Kothagudem,02,Pinapaka,578822,0000,VILLAGE,Potlapalli,Rural,478,1837,892,945,153,74,79,115,47,68,1510,747,763,962,560,402,875,332,543,1082,513,569,1072,507,565,489,283,206,559,213,346,3,1,2,21,10,11,10,6,4,0,0,0,6,3,3,1,0,1,3,3,0,9,6,3,0,0,0,6,3,3,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,755,379,376
