DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
22,92,Secunderabad,Hyderabad,06,Musheerabad,573968,0001,WARD,Osmania University (CT) WARD NO.-0001,Urban,627,6762,3727,3035,265,141,124,968,572,396,311,200,111,5642,3435,2207,1120,292,828,875,680,195,760,600,160,11,6,5,6,4,2,3,1,2,740,589,151,115,80,35,23,17,6,1,1,0,7,4,3,84,58,26,90,58,32,23,17,6,1,1,0,5,3,2,61,37,24,25,22,3,0,0,0,0,0,0,2,1,1,23,21,2,5887,3047,2840
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0001,WARD,Secunderabad (CB) WARD NO.-0001,Urban,6770,28700,14627,14073,3241,1684,1557,3225,1574,1651,178,92,86,22073,11717,10356,6627,2910,3717,10257,7889,2368,8572,6920,1652,52,40,12,99,75,24,256,203,53,8165,6602,1563,1685,969,716,26,12,14,25,12,13,112,70,42,1522,875,647,1464,805,659,26,12,14,23,10,13,65,33,32,1350,750,600,221,164,57,0,0,0,2,2,0,47,37,10,172,125,47,18443,6738,11705
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0002,WARD,Secunderabad (CB) WARD NO.-0002,Urban,7492,32628,16552,16076,4246,2174,2072,3683,1854,1829,346,179,167,20901,11368,9533,11727,5184,6543,13622,9424,4198,9670,7170,2500,130,69,61,135,76,59,590,356,234,8815,6669,2146,3952,2254,1698,72,34,38,72,39,33,450,261,189,3358,1920,1438,2980,1598,1382,71,33,38,65,33,32,371,225,146,2473,1307,1166,972,656,316,1,1,0,7,6,1,79,36,43,885,613,272,19006,7128,11878
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0003,WARD,Secunderabad (CB) WARD NO.-0003,Urban,5256,23111,11735,11376,2413,1239,1174,3058,1527,1531,184,99,85,16504,8783,7721,6607,2952,3655,9463,6556,2907,7104,5330,1774,67,25,42,112,64,48,299,203,96,6626,5038,1588,2359,1226,1133,64,24,40,21,8,13,214,42,172,2060,1152,908,2259,1173,1086,64,24,40,17,5,12,197,38,159,1981,1106,875,100,53,47,0,0,0,4,3,1,17,4,13,79,46,33,13648,5179,8469
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0004,WARD,Secunderabad (CB) WARD NO.-0004,Urban,5302,22698,11958,10740,2069,1078,991,3352,1691,1661,619,272,347,18291,10010,8281,4407,1948,2459,10604,7499,3105,8519,6446,2073,108,61,47,92,50,42,223,112,111,8096,6223,1873,2085,1053,1032,79,37,42,42,22,20,89,28,61,1875,966,909,1952,973,979,78,36,42,41,22,19,84,26,58,1749,889,860,133,80,53,1,1,0,1,0,1,5,2,3,126,77,49,12094,4459,7635
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0005,WARD,Secunderabad (CB) WARD NO.-0005,Urban,6018,24492,12294,12198,2392,1209,1183,3413,1688,1725,279,142,137,18767,9919,8848,5725,2375,3350,10531,7247,3284,8487,6147,2340,124,77,47,90,51,39,275,216,59,7998,5803,2195,2044,1100,944,48,20,28,38,26,12,41,18,23,1917,1036,881,1809,992,817,46,18,28,38,26,12,34,15,19,1691,933,758,235,108,127,2,2,0,0,0,0,7,3,4,226,103,123,13961,5047,8914
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0006,WARD,Secunderabad (CB) WARD NO.-0006,Urban,6659,27522,13938,13584,2477,1322,1155,1297,644,653,247,108,139,21993,11493,10500,5529,2445,3084,11398,8114,3284,8399,6452,1947,165,87,78,84,64,20,167,121,46,7983,6180,1803,2999,1662,1337,136,63,73,25,18,7,51,33,18,2787,1548,1239,2735,1468,1267,134,61,73,23,16,7,48,31,17,2530,1360,1170,264,194,70,2,2,0,2,2,0,3,2,1,257,188,69,16124,5824,10300
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0007,WARD,Secunderabad (CB) WARD NO.-0007,Urban,5728,27438,15650,11788,2399,1251,1148,4064,2030,2034,161,101,60,22215,13363,8852,5223,2287,2936,13765,10539,3226,10653,8887,1766,95,54,41,78,39,39,66,30,36,10414,8764,1650,3112,1652,1460,139,53,86,28,19,9,45,22,23,2900,1558,1342,3046,1615,1431,139,53,86,22,15,7,42,19,23,2843,1528,1315,66,37,29,0,0,0,6,4,2,3,3,0,57,30,27,13673,5111,8562
22,92,Secunderabad,Hyderabad,04,Tirumalgiri,802919,0008,WARD,Secunderabad (CB) WARD NO.-0008,Urban,7108,31321,16823,14498,3348,1712,1636,6411,3128,3283,132,71,61,25411,14295,11116,5910,2528,3382,12913,10379,2534,11216,9436,1780,92,51,41,177,139,38,150,118,32,10797,9128,1669,1697,943,754,108,54,54,48,33,15,108,35,73,1433,821,612,1496,805,691,106,53,53,21,12,9,99,31,68,1270,709,561,201,138,63,2,1,1,27,21,6,9,4,5,163,112,51,18408,6444,11964
22,91,HYDERABAD,Hyderabad,16,Saidabad,802918,0018,WARD,GHMC (M Corp.) (Part) WARD NO.-0018,Urban,5758,25242,13010,12232,2517,1352,1165,2580,1380,1200,181,103,78,20150,10716,9434,5092,2294,2798,9825,7144,2681,7052,5467,1585,104,76,28,147,81,66,159,100,59,6642,5210,1432,2773,1677,1096,57,26,31,42,21,21,255,127,128,2419,1503,916,2453,1522,931,56,25,31,38,19,19,104,51,53,2255,1427,828,320,155,165,1,1,0,4,2,2,151,76,75,164,76,88,15417,5866,9551
