DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571604,0000,VILLAGE,Komatikondapur,Rural,589,2190,1058,1132,222,124,98,388,189,199,4,2,2,1043,581,462,1147,477,670,1338,649,689,1293,632,661,439,240,199,437,232,205,267,32,235,150,128,22,45,17,28,6,1,5,15,6,9,15,4,11,9,6,3,39,12,27,6,1,5,12,3,9,12,2,10,9,6,3,6,5,1,0,0,0,3,3,0,3,2,1,0,0,0,852,409,443
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571605,0000,VILLAGE,Erdandi,Rural,661,2619,1254,1365,263,119,144,356,162,194,97,45,52,1291,738,553,1328,516,812,1607,763,844,1606,763,843,643,328,315,579,325,254,165,14,151,219,96,123,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,491,521
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571606,0000,VILLAGE,Bardipur,Rural,270,988,470,518,82,46,36,237,108,129,81,39,42,427,252,175,561,218,343,579,269,310,574,269,305,135,79,56,287,167,120,128,4,124,24,19,5,5,0,5,1,0,1,0,0,0,3,0,3,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,1,0,1,0,0,0,1,0,1,1,0,1,409,201,208
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571607,0000,VILLAGE,Mularampur,Rural,177,794,385,409,102,53,49,65,33,32,8,4,4,333,192,141,461,193,268,512,237,275,512,237,275,312,149,163,90,41,49,48,9,39,62,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,148,134
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571608,0000,VILLAGE,Vemulakurthi,Rural,1051,4123,1973,2150,441,240,201,672,316,356,78,43,35,2021,1118,903,2102,855,1247,2494,1187,1307,2222,1077,1145,916,550,366,517,290,227,498,71,427,291,166,125,272,110,162,2,0,2,117,74,43,5,1,4,148,35,113,262,108,154,2,0,2,113,73,40,5,1,4,142,34,108,10,2,8,0,0,0,4,1,3,0,0,0,6,1,5,1629,786,843
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571609,0000,VILLAGE,Kamala Nagar,Rural,654,2473,1166,1307,234,116,118,357,177,180,134,66,68,1296,735,561,1177,431,746,1515,715,800,1500,709,791,463,283,180,401,237,164,427,26,401,209,163,46,15,6,9,4,3,1,4,3,1,4,0,4,3,0,3,7,1,6,2,1,1,1,0,1,2,0,2,2,0,2,8,5,3,2,2,0,3,3,0,2,0,2,1,0,1,958,451,507
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571610,0000,VILLAGE,Yamapur,Rural,548,2115,1047,1068,178,93,85,463,226,237,222,115,107,1037,625,412,1078,422,656,1300,639,661,1120,555,565,345,181,164,461,252,209,146,28,118,168,94,74,180,84,96,0,0,0,171,81,90,0,0,0,9,3,6,176,83,93,0,0,0,168,80,88,0,0,0,8,3,5,4,1,3,0,0,0,3,1,2,0,0,0,1,0,1,815,408,407
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571611,0000,VILLAGE,Fakir Kondapur,Rural,167,704,325,379,73,30,43,40,17,23,99,47,52,315,162,153,389,163,226,459,219,240,459,219,240,190,96,94,207,97,110,0,0,0,62,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,106,139
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571612,0000,VILLAGE,Timmapur,Rural,675,2586,1255,1331,246,123,123,362,178,184,293,145,148,1334,791,543,1252,464,788,1537,733,804,1521,727,794,328,207,121,680,373,307,364,32,332,149,115,34,16,6,10,1,0,1,9,5,4,2,0,2,4,1,3,13,5,8,1,0,1,8,4,4,1,0,1,3,1,2,3,1,2,0,0,0,1,1,0,1,0,1,1,0,1,1049,522,527
06,92,Metpalle,Jagitial,01,Ibrahimpatnam,571613,0000,VILLAGE,Godur,Rural,1118,4039,1942,2097,410,204,206,580,267,313,104,51,53,2101,1223,878,1938,719,1219,2459,1182,1277,2404,1163,1241,842,475,367,822,387,435,373,28,345,367,273,94,55,19,36,2,2,0,38,12,26,9,0,9,6,5,1,46,19,27,2,2,0,31,12,19,8,0,8,5,5,0,9,0,9,0,0,0,7,0,7,1,0,1,1,0,1,1580,760,820
