DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
19,91,Jangaon,Jangaon,07,Bachannapeta,577647,0000,VILLAGE,Salvapur,Rural,308,1483,733,750,179,97,82,210,106,104,11,6,5,731,441,290,752,292,460,732,364,368,646,361,285,119,115,4,386,159,227,35,9,26,106,78,28,86,3,83,1,0,1,83,2,81,0,0,0,2,1,1,68,1,67,0,0,0,67,0,67,0,0,0,1,1,0,18,2,16,1,0,1,16,2,14,0,0,0,1,0,1,751,369,382
19,91,Jangaon,Jangaon,07,Bachannapeta,577648,0000,VILLAGE,Mansanpalle,Rural,201,831,414,417,87,49,38,18,10,8,0,0,0,426,264,162,405,150,255,448,214,234,447,214,233,271,158,113,128,32,96,0,0,0,48,24,24,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,383,200,183
19,91,Jangaon,Jangaon,07,Bachannapeta,577649,0000,VILLAGE,Padamatikeshvapur,Rural,509,2291,1119,1172,256,120,136,641,305,336,10,6,4,1241,724,517,1050,395,655,1193,651,542,877,632,245,489,352,137,192,116,76,38,30,8,158,134,24,316,19,297,50,5,45,169,6,163,82,3,79,15,5,10,301,15,286,46,4,42,165,5,160,77,2,75,13,4,9,15,4,11,4,1,3,4,1,3,5,1,4,2,1,1,1098,468,630
19,91,Jangaon,Jangaon,07,Bachannapeta,577650,0000,VILLAGE,Lingampalle,Rural,488,2155,1077,1078,214,102,112,329,164,165,12,4,8,1069,624,445,1086,453,633,1176,614,562,803,548,255,318,261,57,297,164,133,35,16,19,153,107,46,373,66,307,56,1,55,170,21,149,85,13,72,62,31,31,336,53,283,56,1,55,157,17,140,79,12,67,44,23,21,37,13,24,0,0,0,13,4,9,6,1,5,18,8,10,979,463,516
19,91,Jangaon,Jangaon,07,Bachannapeta,577651,0000,VILLAGE,Pullaguda,Rural,30,118,56,62,6,3,3,0,0,0,0,0,0,51,30,21,67,26,41,65,29,36,62,29,33,22,22,0,32,5,27,0,0,0,8,2,6,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,53,27,26
19,91,Jangaon,Jangaon,07,Bachannapeta,577652,0000,VILLAGE,Dubbakuntapalle,Rural,243,1118,545,573,122,59,63,166,82,84,0,0,0,631,373,258,487,172,315,577,313,264,514,290,224,431,239,192,32,11,21,5,4,1,46,36,10,63,23,40,9,3,6,18,6,12,2,0,2,34,14,20,37,15,22,6,3,3,14,5,9,2,0,2,15,7,8,26,8,18,3,0,3,4,1,3,0,0,0,19,7,12,541,232,309
19,91,Jangaon,Jangaon,07,Bachannapeta,577653,0000,VILLAGE,Konne,Rural,632,2532,1270,1262,260,141,119,424,202,222,12,6,6,1482,892,590,1050,378,672,1311,701,610,1065,653,412,370,232,138,323,161,162,84,38,46,288,222,66,246,48,198,9,5,4,160,27,133,55,7,48,22,9,13,205,41,164,6,4,2,129,23,106,50,5,45,20,9,11,41,7,34,3,1,2,31,4,27,5,2,3,2,0,2,1221,569,652
19,91,Jangaon,Jangaon,07,Bachannapeta,577654,0000,VILLAGE,Nagireddipaller,Rural,373,1663,852,811,171,90,81,373,197,176,0,0,0,882,534,348,781,318,463,878,460,418,744,401,343,159,147,12,499,208,291,29,1,28,57,45,12,134,59,75,3,1,2,110,48,62,6,0,6,15,10,5,123,56,67,3,1,2,106,46,60,3,0,3,11,9,2,11,3,8,0,0,0,4,2,2,3,0,3,4,1,3,785,392,393
19,91,Jangaon,Jangaon,07,Bachannapeta,577655,0000,VILLAGE,Gangapur,Rural,145,584,284,300,54,31,23,154,76,78,0,0,0,353,202,151,231,82,149,291,169,122,276,163,113,139,85,54,89,38,51,3,3,0,45,37,8,15,6,9,1,1,0,11,4,7,1,0,1,2,1,1,12,5,7,1,1,0,8,3,5,1,0,1,2,1,1,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,293,115,178
19,91,Jangaon,Jangaon,07,Bachannapeta,577656,0000,VILLAGE,Ramachadrapur,Rural,235,940,462,478,101,47,54,98,44,54,0,0,0,499,299,200,441,163,278,488,263,225,381,230,151,163,98,65,101,46,55,24,7,17,93,79,14,107,33,74,6,2,4,65,7,58,0,0,0,36,24,12,84,22,62,6,2,4,53,4,49,0,0,0,25,16,9,23,11,12,0,0,0,12,3,9,0,0,0,11,8,3,452,199,253
