DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571818,0000,VILLAGE,Damerakunta,Rural,794,2903,1429,1474,285,151,134,901,451,450,47,30,17,1527,899,628,1376,530,846,1522,797,725,1234,709,525,227,204,23,863,383,480,4,1,3,140,121,19,288,88,200,23,10,13,216,52,164,2,2,0,47,24,23,259,72,187,18,9,9,200,44,156,2,2,0,39,17,22,29,16,13,5,1,4,16,8,8,0,0,0,8,7,1,1381,632,749
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571819,0000,VILLAGE,Gundrathpalle,Rural,119,419,203,216,38,17,21,179,88,91,0,0,0,180,106,74,239,97,142,245,126,119,209,123,86,53,51,2,139,57,82,0,0,0,17,15,2,36,3,33,0,0,0,30,0,30,0,0,0,6,3,3,36,3,33,0,0,0,30,0,30,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,77,97
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571820,0000,VILLAGE,Mallaram,Rural,104,335,155,180,38,16,22,161,72,89,0,0,0,125,73,52,210,82,128,194,93,101,190,93,97,6,5,1,182,86,96,0,0,0,2,2,0,4,0,4,0,0,0,3,0,3,0,0,0,1,0,1,4,0,4,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,62,79
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571821,0000,VILLAGE,Raghupalle,Rural,167,620,303,317,65,35,30,390,194,196,58,28,30,312,183,129,308,120,188,345,179,166,345,179,166,9,9,0,318,155,163,1,0,1,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,124,151
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571822,0000,VILLAGE,Veerapoor,Rural,110,384,199,185,39,23,16,103,58,45,104,50,54,174,113,61,210,86,124,198,124,74,197,123,74,41,39,2,151,80,71,0,0,0,5,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,186,75,111
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571823,0000,VILLAGE,Jadaraopet,Rural,200,739,353,386,83,41,42,31,12,19,233,110,123,325,183,142,414,170,244,455,224,231,454,224,230,194,98,96,206,87,119,5,4,1,49,35,14,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,129,155
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571824,0000,VILLAGE,Gudoor,Rural,62,241,116,125,21,11,10,238,115,123,0,0,0,96,43,53,145,73,72,158,78,80,147,73,74,29,14,15,117,58,59,0,0,0,1,1,0,11,5,6,0,0,0,10,5,5,0,0,0,1,0,1,11,5,6,0,0,0,10,5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,38,45
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571825,0000,VILLAGE,Vilasagar,Rural,990,3632,1781,1851,318,168,150,891,426,465,228,119,109,1956,1091,865,1676,690,986,1917,966,951,1733,914,819,349,267,82,1023,405,618,15,11,4,346,231,115,184,52,132,12,4,8,150,33,117,1,1,0,21,14,7,152,44,108,10,4,6,121,26,95,1,1,0,20,13,7,32,8,24,2,0,2,29,7,22,0,0,0,1,1,0,1715,815,900
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571826,0000,VILLAGE,Dharmasagar,Rural,141,532,267,265,41,17,24,245,121,124,0,0,0,259,155,104,273,112,161,281,142,139,247,127,120,4,2,2,226,110,116,0,0,0,17,15,2,34,15,19,0,0,0,34,15,19,0,0,0,0,0,0,11,4,7,0,0,0,11,4,7,0,0,0,0,0,0,23,11,12,0,0,0,23,11,12,0,0,0,0,0,0,251,125,126
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571827,0000,VILLAGE,Odipilavancha,Rural,298,1088,536,552,117,63,54,679,345,334,0,0,0,488,278,210,600,258,342,509,273,236,381,214,167,41,38,3,304,148,156,1,1,0,35,27,8,128,59,69,0,0,0,118,50,68,1,1,0,9,8,1,128,59,69,0,0,0,118,50,68,1,1,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,263,316
08,91,Bhupalpalle,Jayashankar Bhupalapalli,04,Kataram,571828,0000,VILLAGE,Gummallapalle,Rural,238,803,392,411,72,45,27,249,127,122,79,37,42,433,246,187,370,146,224,429,215,214,429,215,214,67,59,8,338,141,197,4,1,3,20,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,177,197
