DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
15,93,Banswada,Kamareddy,01,Madnur,571046,0000,VILLAGE,Salabathpur,Rural,139,688,332,356,128,63,65,200,94,106,4,2,2,320,173,147,368,159,209,383,179,204,40,28,12,5,5,0,2,0,2,5,2,3,28,21,7,343,151,192,5,4,1,312,139,173,5,3,2,21,5,16,32,14,18,4,3,1,12,5,7,4,3,1,12,3,9,311,137,174,1,1,0,300,134,166,1,0,1,9,2,7,305,153,152
15,93,Banswada,Kamareddy,01,Madnur,571047,0000,VILLAGE,Chinna Shekkarga,Rural,215,1023,529,494,137,68,69,273,134,139,0,0,0,615,358,257,408,171,237,434,278,156,431,276,155,66,47,19,290,160,130,2,1,1,73,68,5,3,2,1,0,0,0,1,0,1,0,0,0,2,2,0,3,2,1,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,251,338
15,93,Banswada,Kamareddy,01,Madnur,571048,0000,VILLAGE,Pedda Shekkarga,Rural,473,2202,1121,1081,237,126,111,230,111,119,0,0,0,1172,696,476,1030,425,605,1298,699,599,1043,610,433,249,166,83,655,331,324,11,7,4,128,106,22,255,89,166,21,11,10,215,65,150,6,3,3,13,10,3,237,79,158,21,11,10,197,55,142,6,3,3,13,10,3,18,10,8,0,0,0,18,10,8,0,0,0,0,0,0,904,422,482
15,93,Banswada,Kamareddy,01,Madnur,571049,0000,VILLAGE,Gojegaon,Rural,155,730,375,355,75,41,34,91,47,44,360,190,170,400,236,164,330,139,191,406,205,201,225,115,110,145,74,71,74,35,39,0,0,0,6,6,0,181,90,91,8,3,5,173,87,86,0,0,0,0,0,0,181,90,91,8,3,5,173,87,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,170,154
15,93,Banswada,Kamareddy,01,Madnur,571050,0000,VILLAGE,Sonala,Rural,118,524,261,263,64,40,24,206,102,104,0,0,0,282,157,125,242,104,138,236,145,91,231,140,91,70,51,19,114,44,70,1,1,0,46,44,2,5,5,0,0,0,0,2,2,0,0,0,0,3,3,0,5,5,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,116,172
15,93,Banswada,Kamareddy,01,Madnur,571051,0000,VILLAGE,Thadi Hipperga,Rural,390,1740,888,852,235,128,107,585,289,296,1,1,0,936,552,384,804,336,468,1165,572,593,763,382,381,299,157,142,235,121,114,3,3,0,226,101,125,402,190,212,7,3,4,374,175,199,4,3,1,17,9,8,55,27,28,2,0,2,39,18,21,1,1,0,13,8,5,347,163,184,5,3,2,335,157,178,3,2,1,4,1,3,575,316,259
15,93,Banswada,Kamareddy,23,Dongli,571053,0000,VILLAGE,Limboor,Rural,432,2008,1006,1002,268,135,133,541,263,278,0,0,0,786,485,301,1222,521,701,1201,605,596,321,161,160,60,31,29,245,119,126,2,2,0,14,9,5,880,444,436,41,21,20,838,422,416,0,0,0,1,1,0,870,439,431,41,21,20,828,417,411,0,0,0,1,1,0,10,5,5,0,0,0,10,5,5,0,0,0,0,0,0,807,401,406
15,93,Banswada,Kamareddy,23,Dongli,571054,0000,VILLAGE,Hassa Takli,Rural,128,571,290,281,64,35,29,192,100,92,0,0,0,281,168,113,290,122,168,278,176,102,275,175,100,158,94,64,63,34,29,10,9,1,44,38,6,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,114,179
15,93,Banswada,Kamareddy,23,Dongli,571055,0000,VILLAGE,Pedda Takli,Rural,247,1204,611,593,162,75,87,391,188,203,0,0,0,614,348,266,590,263,327,454,350,104,428,337,91,126,124,2,223,143,80,0,0,0,79,70,9,26,13,13,0,0,0,25,12,13,0,0,0,1,1,0,26,13,13,0,0,0,25,12,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,261,489
15,93,Banswada,Kamareddy,23,Dongli,571056,0000,VILLAGE,Sirpur,Rural,249,1332,695,637,172,93,79,422,215,207,1,1,0,694,420,274,638,275,363,763,404,359,44,39,5,22,21,1,5,3,2,4,4,0,13,11,2,719,365,354,0,0,0,718,364,354,0,0,0,1,1,0,719,365,354,0,0,0,718,364,354,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,291,278
