DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
13,91,Karimnagar,Karimnagar,01,Gangadhara,572201,0000,VILLAGE,Venkataipalle,Rural,337,1373,681,692,108,52,56,182,88,94,0,0,0,776,459,317,597,222,375,761,381,380,575,337,238,191,136,55,155,83,72,83,7,76,146,111,35,186,44,142,1,1,0,136,33,103,10,2,8,39,8,31,177,39,138,1,1,0,129,30,99,10,2,8,37,6,31,9,5,4,0,0,0,7,3,4,0,0,0,2,2,0,612,300,312
13,91,Karimnagar,Karimnagar,01,Gangadhara,572202,0000,VILLAGE,Ryalapalle,Rural,559,2262,1111,1151,178,87,91,555,260,295,0,0,0,1039,617,422,1223,494,729,1269,628,641,911,493,418,362,251,111,396,185,211,73,16,57,80,41,39,358,135,223,46,19,27,258,107,151,40,4,36,14,5,9,332,135,197,44,19,25,237,107,130,37,4,33,14,5,9,26,0,26,2,0,2,21,0,21,3,0,3,0,0,0,993,483,510
13,91,Karimnagar,Karimnagar,01,Gangadhara,572203,0000,VILLAGE,Kachireddipalle,Rural,330,1334,668,666,114,59,55,177,81,96,0,0,0,712,434,278,622,234,388,701,374,327,562,296,266,271,153,118,125,60,65,64,8,56,102,75,27,139,78,61,2,1,1,88,43,45,8,2,6,41,32,9,137,77,60,2,1,1,88,43,45,8,2,6,39,31,8,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,633,294,339
13,91,Karimnagar,Karimnagar,01,Gangadhara,572204,0000,VILLAGE,Kondaipalle,Rural,259,1118,551,567,89,45,44,302,155,147,0,0,0,550,319,231,568,232,336,662,339,323,659,338,321,208,121,87,359,189,170,44,1,43,48,27,21,3,1,2,2,0,2,1,1,0,0,0,0,0,0,0,3,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,212,244
13,91,Karimnagar,Karimnagar,01,Gangadhara,572205,0000,VILLAGE,Burgupalle,Rural,739,2906,1464,1442,235,125,110,471,243,228,13,6,7,1506,905,601,1400,559,841,1528,819,709,888,665,223,323,259,64,198,118,80,60,31,29,307,257,50,640,154,486,132,8,124,197,68,129,97,16,81,214,62,152,615,148,467,130,7,123,186,66,120,91,16,75,208,59,149,25,6,19,2,1,1,11,2,9,6,0,6,6,3,3,1378,645,733
13,91,Karimnagar,Karimnagar,01,Gangadhara,572206,0000,VILLAGE,Narasimhulapalle,Rural,206,787,377,410,61,30,31,147,70,77,0,0,0,363,198,165,424,179,245,496,243,253,489,242,247,248,133,115,170,85,85,41,3,38,30,21,9,7,1,6,0,0,0,6,1,5,0,0,0,1,0,1,5,1,4,0,0,0,4,1,3,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,291,134,157
13,91,Karimnagar,Karimnagar,01,Gangadhara,572207,0000,VILLAGE,Sarvareddipalle,Rural,455,1777,893,884,152,75,77,552,270,282,14,8,6,944,543,401,833,350,483,1050,529,521,1047,528,519,190,123,67,686,323,363,41,8,33,130,74,56,3,1,2,0,0,0,0,0,0,1,0,1,2,1,1,3,1,2,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,364,363
13,91,Karimnagar,Karimnagar,01,Gangadhara,572208,0000,VILLAGE,Nagireddipur,Rural,481,1780,882,898,119,62,57,473,240,233,0,0,0,991,583,408,789,299,490,943,460,483,332,206,126,45,43,2,44,29,15,95,3,92,148,131,17,611,254,357,44,16,28,330,137,193,132,0,132,105,101,4,536,240,296,43,16,27,272,127,145,120,0,120,101,97,4,75,14,61,1,0,1,58,10,48,12,0,12,4,4,0,837,422,415
13,91,Karimnagar,Karimnagar,01,Gangadhara,572209,0000,VILLAGE,Gangadhara,Rural,1856,7806,3935,3871,687,365,322,1917,971,946,74,32,42,4481,2606,1875,3325,1329,1996,4008,2139,1869,3171,1859,1312,960,635,325,1076,519,557,357,86,271,778,619,159,837,280,557,13,6,7,690,220,470,70,8,62,64,46,18,589,267,322,12,6,6,455,213,242,67,8,59,55,40,15,248,13,235,1,0,1,235,7,228,3,0,3,9,6,3,3798,1796,2002
13,91,Karimnagar,Karimnagar,01,Gangadhara,572210,0000,VILLAGE,Narayanpur,Rural,604,2259,1152,1107,161,85,76,392,204,188,16,6,10,1111,672,439,1148,480,668,1298,671,627,728,390,338,504,271,233,39,18,21,73,14,59,112,87,25,570,281,289,3,0,3,530,265,265,21,1,20,16,15,1,560,278,282,2,0,2,521,262,259,21,1,20,16,15,1,10,3,7,1,0,1,9,3,6,0,0,0,0,0,0,961,481,480
