DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
31,91,Khammam,Khammam,01,Singareni,579452,0000,VILLAGE,Madharam,Rural,1601,5935,2982,2953,546,280,266,663,323,340,3381,1719,1662,3263,1909,1354,2672,1073,1599,3103,1643,1460,2918,1578,1340,253,214,39,2184,953,1231,18,14,4,463,397,66,185,65,120,2,0,2,154,46,108,1,1,0,28,18,10,148,52,96,2,0,2,122,36,86,0,0,0,24,16,8,37,13,24,0,0,0,32,10,22,1,1,0,4,2,2,2832,1339,1493
31,91,Khammam,Khammam,01,Singareni,579453,0000,VILLAGE,Perupalle,Rural,1269,4824,2381,2443,471,237,234,382,188,194,3130,1548,1582,2676,1529,1147,2148,852,1296,2492,1306,1186,2413,1272,1141,593,398,195,1594,708,886,27,21,6,199,145,54,79,34,45,17,7,10,46,24,22,6,0,6,10,3,7,75,33,42,17,7,10,45,24,21,5,0,5,8,2,6,4,1,3,0,0,0,1,0,1,1,0,1,2,1,1,2332,1075,1257
31,91,Khammam,Khammam,01,Singareni,579454,0000,VILLAGE,Usirikayalapalle,Rural,3678,14477,7516,6961,1371,720,651,1175,572,603,10895,5704,5191,7933,4806,3127,6544,2710,3834,7573,3946,3627,6729,3625,3104,1261,817,444,4653,2174,2479,53,26,27,762,608,154,844,321,523,38,14,24,692,240,452,6,3,3,108,64,44,741,270,471,36,12,24,613,207,406,6,3,3,86,48,38,103,51,52,2,2,0,79,33,46,0,0,0,22,16,6,6904,3570,3334
31,91,Khammam,Khammam,01,Singareni,579455,0000,VILLAGE,Singareni,Rural,1440,5505,2682,2823,473,242,231,1327,679,648,1138,520,618,3630,1966,1664,1875,716,1159,2416,1374,1042,2259,1309,950,223,158,65,1282,556,726,53,43,10,701,552,149,157,65,92,6,5,1,137,51,86,2,2,0,12,7,5,156,65,91,6,5,1,136,51,85,2,2,0,12,7,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3089,1308,1781
31,91,Khammam,Khammam,01,Singareni,579456,0000,VILLAGE,Karepalle(Gate),Rural,1025,4334,1948,2386,324,174,150,209,107,102,2881,1232,1649,2484,1208,1276,1850,740,1110,2191,1103,1088,1665,990,675,266,231,35,1258,651,607,6,4,2,135,104,31,526,113,413,15,5,10,505,106,399,0,0,0,6,2,4,424,85,339,14,5,9,405,78,327,0,0,0,5,2,3,102,28,74,1,0,1,100,28,72,0,0,0,1,0,1,2143,845,1298
31,91,Khammam,Khammam,01,Singareni,579457,0000,VILLAGE,Kamalapuram,Rural,458,1582,783,799,157,75,82,196,94,102,410,210,200,823,473,350,759,310,449,898,471,427,865,462,403,297,178,119,474,202,272,0,0,0,94,82,12,33,9,24,12,3,9,18,3,15,0,0,0,3,3,0,25,8,17,7,2,5,15,3,12,0,0,0,3,3,0,8,1,7,5,1,4,3,0,3,0,0,0,0,0,0,684,312,372
31,91,Khammam,Khammam,01,Singareni,579458,0000,VILLAGE,Viswanadhapalle,Rural,907,3118,1535,1583,316,160,156,234,116,118,1509,746,763,1646,938,708,1472,597,875,1661,880,781,1497,845,652,306,205,101,969,455,514,8,6,2,214,179,35,164,35,129,2,1,1,151,24,127,0,0,0,11,10,1,133,22,111,1,0,1,123,14,109,0,0,0,9,8,1,31,13,18,1,1,0,28,10,18,0,0,0,2,2,0,1457,655,802
31,91,Khammam,Khammam,01,Singareni,579459,0000,VILLAGE,Komatlagudem,Rural,1190,4466,2262,2204,386,203,183,300,148,152,2893,1477,1416,2546,1461,1085,1920,801,1119,2428,1244,1184,2242,1207,1035,769,446,323,1222,573,649,18,12,6,233,176,57,186,37,149,6,3,3,146,23,123,13,1,12,21,10,11,147,26,121,1,0,1,122,16,106,6,1,5,18,9,9,39,11,28,5,3,2,24,7,17,7,0,7,3,1,2,2038,1018,1020
31,91,Khammam,Khammam,01,Singareni,579460,0000,VILLAGE,Manikyaram,Rural,811,3017,1558,1459,313,180,133,136,78,58,1718,885,833,1474,870,604,1543,688,855,1720,898,822,1689,882,807,502,292,210,1035,477,558,5,3,2,147,110,37,31,16,15,5,3,2,21,10,11,1,0,1,4,3,1,30,16,14,5,3,2,20,10,10,1,0,1,4,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1297,660,637
31,91,Khammam,Khammam,01,Singareni,579461,0000,VILLAGE,Bajumallaigudem,Rural,622,2281,1138,1143,225,118,107,233,111,122,1250,632,618,1199,688,511,1082,450,632,1283,649,634,1177,625,552,288,155,133,821,417,404,13,8,5,55,45,10,106,24,82,5,2,3,100,21,79,0,0,0,1,1,0,104,24,80,4,2,2,99,21,78,0,0,0,1,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,998,489,509
