DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569257,0000,VILLAGE,Lakampur,Rural,69,329,169,160,56,28,28,5,3,2,324,166,158,141,93,48,188,76,112,185,94,91,14,13,1,0,0,0,4,4,0,2,2,0,8,7,1,171,81,90,79,47,32,57,27,30,31,5,26,4,2,2,170,81,89,79,47,32,56,27,29,31,5,26,4,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,144,75,69
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569258,0000,VILLAGE,Kotha,Rural,88,365,194,171,67,30,37,364,194,170,0,0,0,191,119,72,174,75,99,214,113,101,81,79,2,77,76,1,3,2,1,0,0,0,1,1,0,133,34,99,1,1,0,131,33,98,0,0,0,1,0,1,133,34,99,1,1,0,131,33,98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,81,70
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569259,0000,VILLAGE,Parandol,Rural,378,1627,849,778,209,108,101,909,471,438,553,277,276,878,539,339,749,310,439,856,431,425,756,383,373,436,246,190,295,126,169,5,2,3,20,9,11,100,48,52,12,6,6,82,39,43,1,0,1,5,3,2,88,41,47,8,4,4,75,34,41,1,0,1,4,3,1,12,7,5,4,2,2,7,5,2,0,0,0,1,0,1,771,418,353
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569260,0000,VILLAGE,Karanjiwada,Rural,152,769,378,391,112,66,46,29,15,14,716,351,365,307,168,139,462,210,252,413,203,210,28,14,14,3,1,2,11,4,7,2,1,1,12,8,4,385,189,196,358,178,180,10,4,6,3,0,3,14,7,7,381,187,194,358,178,180,6,2,4,3,0,3,14,7,7,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,356,175,181
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569261,0000,VILLAGE,Anthapur,Rural,144,684,350,334,120,65,55,4,2,2,630,319,311,110,69,41,574,281,293,334,187,147,274,158,116,250,147,103,7,3,4,0,0,0,17,8,9,60,29,31,52,27,25,5,2,3,0,0,0,3,0,3,55,26,29,49,25,24,3,1,2,0,0,0,3,0,3,5,3,2,3,2,1,2,1,1,0,0,0,0,0,0,350,163,187
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569262,0000,VILLAGE,Isapur,Rural,107,428,218,210,66,35,31,200,102,98,201,100,101,221,124,97,207,94,113,267,136,131,263,135,128,51,48,3,207,84,123,0,0,0,5,3,2,4,1,3,0,0,0,1,1,0,0,0,0,3,0,3,3,1,2,0,0,0,1,1,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,161,82,79
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569263,0000,VILLAGE,Gowri,Rural,162,759,383,376,137,60,77,620,315,305,93,43,50,404,243,161,355,140,215,414,216,198,411,215,196,169,161,8,231,47,184,0,0,0,11,7,4,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,167,178
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569266,0000,VILLAGE,Devadpalle,Rural,69,271,143,128,53,35,18,241,132,109,30,11,19,115,66,49,156,77,79,119,70,49,63,58,5,34,33,1,16,13,3,0,0,0,13,12,1,56,12,44,9,1,8,47,11,36,0,0,0,0,0,0,40,12,28,6,1,5,34,11,23,0,0,0,0,0,0,16,0,16,3,0,3,13,0,13,0,0,0,0,0,0,152,73,79
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569267,0000,VILLAGE,Agarwada,Rural,41,219,100,119,47,20,27,0,0,0,114,50,64,35,24,11,184,76,108,135,63,72,134,63,71,105,52,53,0,0,0,2,1,1,27,10,17,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,37,47
02,91,Asifabad,Kumuram Bheem,07,Kerameri,569268,0000,VILLAGE,Kali Buzurg(Pedda Keli),Rural,194,881,445,436,120,56,64,22,10,12,146,64,82,380,244,136,501,201,300,562,277,285,475,249,226,305,182,123,137,46,91,1,0,1,32,21,11,87,28,59,49,14,35,28,10,18,0,0,0,10,4,6,73,23,50,42,12,30,24,7,17,0,0,0,7,4,3,14,5,9,7,2,5,4,3,1,0,0,0,3,0,3,319,168,151
