DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
10,92,Thorrur,Mahabubabad,16,Peddavangara,578277,0000,VILLAGE,Gantlakunta,Rural,798,3169,1585,1584,310,144,166,812,411,401,261,131,130,1593,941,652,1576,644,932,1704,879,825,1328,770,558,684,440,244,454,180,274,29,23,6,161,127,34,376,109,267,27,12,15,320,80,240,12,6,6,17,11,6,347,104,243,23,11,12,298,77,221,10,5,5,16,11,5,29,5,24,4,1,3,22,3,19,2,1,1,1,0,1,1465,706,759
10,92,Thorrur,Mahabubabad,16,Peddavangara,578278,0000,VILLAGE,Pochampalle,Rural,710,2947,1481,1466,292,156,136,411,210,201,1378,697,681,1333,792,541,1614,689,925,1575,802,773,1510,774,736,885,475,410,460,169,291,6,5,1,159,125,34,65,28,37,6,3,3,44,14,30,2,1,1,13,10,3,64,28,36,6,3,3,44,14,30,1,1,0,13,10,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1372,679,693
10,92,Thorrur,Mahabubabad,16,Peddavangara,578280,0000,VILLAGE,Authapuram,Rural,1040,4211,2111,2100,374,188,186,780,397,383,13,6,7,2223,1328,895,1988,783,1205,2059,1100,959,1199,802,397,512,317,195,183,56,127,31,22,9,473,407,66,860,298,562,6,2,4,776,240,536,7,4,3,71,52,19,851,298,553,6,2,4,770,240,530,7,4,3,68,52,16,9,0,9,0,0,0,6,0,6,0,0,0,3,0,3,2152,1011,1141
10,92,Thorrur,Mahabubabad,16,Peddavangara,578281,0000,VILLAGE,Peddavangara,Rural,1143,4543,2272,2271,391,215,176,799,367,432,1277,644,633,2271,1349,922,2272,923,1349,2287,1200,1087,1779,955,824,690,439,251,916,396,520,9,6,3,164,114,50,508,245,263,27,21,6,368,146,222,2,1,1,111,77,34,490,242,248,27,21,6,351,143,208,2,1,1,110,77,33,18,3,15,0,0,0,17,3,14,0,0,0,1,0,1,2256,1072,1184
10,92,Thorrur,Mahabubabad,16,Peddavangara,578282,0000,VILLAGE,Koripalle,Rural,415,1640,838,802,127,62,65,546,275,271,159,85,74,878,531,347,762,307,455,807,469,338,666,438,228,118,118,0,474,253,221,6,5,1,68,62,6,141,31,110,1,0,1,132,26,106,0,0,0,8,5,3,141,31,110,1,0,1,132,26,106,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,369,464
10,92,Thorrur,Mahabubabad,16,Peddavangara,578283,0000,VILLAGE,Waddekothapalle,Rural,585,2489,1257,1232,250,141,109,637,322,315,262,142,120,1269,731,538,1220,526,694,1306,665,641,1303,663,640,230,134,96,984,455,529,11,10,1,78,64,14,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,592,591
10,92,Thorrur,Mahabubabad,16,Peddavangara,578284,0000,VILLAGE,Pocharam,Rural,169,705,359,346,79,42,37,32,16,16,252,127,125,335,197,138,370,162,208,354,175,179,351,173,178,46,32,14,283,123,160,2,1,1,20,17,3,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,184,167
10,91,Mahabubabad,Mahabubabad,01,Kothaguda,578384,0000,VILLAGE,Thimmapur,Rural,144,466,235,231,42,23,19,11,5,6,359,183,176,257,155,102,209,80,129,310,157,153,156,145,11,143,140,3,8,1,7,2,1,1,3,3,0,154,12,142,2,2,0,143,7,136,3,0,3,6,3,3,154,12,142,2,2,0,143,7,136,3,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,78,78
10,91,Mahabubabad,Mahabubabad,01,Kothaguda,578385,0000,VILLAGE,Konapur,Rural,292,1038,518,520,95,46,49,0,0,0,139,64,75,533,307,226,505,211,294,478,282,196,453,269,184,304,187,117,88,40,48,11,9,2,50,33,17,25,13,12,3,2,1,12,6,6,0,0,0,10,5,5,24,12,12,3,2,1,12,6,6,0,0,0,9,4,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,560,236,324
10,91,Mahabubabad,Mahabubabad,01,Kothaguda,578386,0000,VILLAGE,Ankannagudem,Rural,26,81,41,40,7,3,4,0,0,0,37,20,17,46,31,15,35,10,25,32,20,12,30,19,11,23,17,6,4,1,3,0,0,0,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,28
