DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574566,0000,VILLAGE,Kaplapur,Rural,201,841,401,440,118,63,55,5,3,2,1,0,1,422,256,166,419,145,274,485,251,234,340,177,163,192,98,94,55,19,36,6,3,3,87,57,30,145,74,71,5,0,5,112,55,57,2,2,0,26,17,9,133,63,70,5,0,5,102,46,56,1,1,0,25,16,9,12,11,1,0,0,0,10,9,1,1,1,0,1,1,0,356,150,206
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574567,0000,VILLAGE,Vennached,Rural,1640,7698,3792,3906,984,511,473,1503,774,729,103,51,52,3778,2243,1535,3920,1549,2371,4106,2070,2036,3594,1898,1696,1096,881,215,2028,660,1368,67,34,33,403,323,80,512,172,340,60,45,15,236,27,209,54,12,42,162,88,74,464,151,313,45,32,13,209,22,187,53,12,41,157,85,72,48,21,27,15,13,2,27,5,22,1,0,1,5,3,2,3592,1722,1870
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574568,0000,VILLAGE,Jinnaram,Rural,271,1438,752,686,199,98,101,140,68,72,518,301,217,699,439,260,739,313,426,766,390,376,764,389,375,44,36,8,693,334,359,0,0,0,27,19,8,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,672,362,310
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574569,0000,VILLAGE,Chelmilla,Rural,67,340,173,167,51,23,28,237,122,115,0,0,0,211,124,87,129,49,80,127,76,51,113,69,44,78,56,22,9,2,7,2,0,2,24,11,13,14,7,7,3,0,3,5,4,1,0,0,0,6,3,3,12,6,6,3,0,3,4,3,1,0,0,0,5,3,2,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,213,97,116
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574570,0000,VILLAGE,Salarnagar,Rural,99,427,213,214,63,31,32,64,33,31,0,0,0,233,137,96,194,76,118,315,157,158,223,127,96,55,49,6,107,47,60,13,2,11,48,29,19,92,30,62,9,5,4,42,4,38,4,2,2,37,19,18,85,27,58,8,5,3,40,4,36,4,2,2,33,16,17,7,3,4,1,0,1,2,0,2,0,0,0,4,3,1,112,56,56
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574571,0000,VILLAGE,Peddavarval,Rural,346,1993,1024,969,283,151,132,304,158,146,16,8,8,814,507,307,1179,517,662,1081,534,547,1039,523,516,606,425,181,390,69,321,2,1,1,41,28,13,42,11,31,16,7,9,22,2,20,0,0,0,4,2,2,42,11,31,16,7,9,22,2,20,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,490,422
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574572,0000,VILLAGE,Chinnavarval,Rural,236,1265,625,640,209,107,102,209,102,107,87,40,47,450,259,191,815,366,449,667,330,337,581,293,288,204,193,11,356,84,272,1,1,0,20,15,5,86,37,49,25,24,1,55,9,46,1,1,0,5,3,2,78,31,47,22,21,1,51,7,44,1,1,0,4,2,2,8,6,2,3,3,0,4,2,2,0,0,0,1,1,0,598,295,303
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574573,0000,VILLAGE,Rusumpalle,Rural,293,1499,816,683,193,105,88,189,96,93,87,50,37,609,399,210,890,417,473,866,430,436,748,375,373,159,132,27,413,146,267,28,13,15,148,84,64,118,55,63,15,7,8,51,22,29,3,0,3,49,26,23,113,52,61,14,6,8,47,20,27,3,0,3,49,26,23,5,3,2,1,1,0,4,2,2,0,0,0,0,0,0,633,386,247
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574574,0000,VILLAGE,Gandeed,Rural,823,3904,2009,1895,467,242,225,1069,516,553,17,12,5,2081,1285,796,1823,724,1099,2000,1031,969,1408,754,654,542,331,211,437,134,303,69,42,27,360,247,113,592,277,315,148,72,76,411,188,223,1,1,0,32,16,16,201,96,105,142,70,72,27,9,18,1,1,0,31,16,15,391,181,210,6,2,4,384,179,205,0,0,0,1,0,1,1904,978,926
25,91,Mahabubnagar,Mahabubnagar,14,Gandeed,574575,0000,VILLAGE,Baispalle,Rural,28,119,59,60,20,5,15,2,1,1,0,0,0,64,44,20,55,15,40,65,30,35,64,30,34,9,4,5,53,24,29,0,0,0,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,54,29,25
