DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
03,92,Bellampalle,Mancherial,07,Bheemini,569809,0000,VILLAGE,Karjibheempur,Rural,191,726,372,354,75,44,31,69,36,33,8,5,3,329,191,138,397,181,216,483,251,232,402,213,189,88,58,30,234,120,114,68,30,38,12,5,7,81,38,43,8,7,1,34,14,20,25,11,14,14,6,8,79,37,42,8,7,1,33,13,20,25,11,14,13,6,7,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,243,121,122
03,92,Bellampalle,Mancherial,07,Bheemini,569810,0000,VILLAGE,Akkalapalle,Rural,114,464,239,225,59,33,26,237,131,106,207,102,105,181,111,70,283,128,155,290,141,149,274,137,137,61,48,13,207,85,122,0,0,0,6,4,2,16,4,12,2,1,1,14,3,11,0,0,0,0,0,0,15,4,11,2,1,1,13,3,10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,174,98,76
03,92,Bellampalle,Mancherial,07,Bheemini,569811,0000,VILLAGE,Laxmipur,Rural,124,528,269,259,82,41,41,149,73,76,0,0,0,203,114,89,325,155,170,276,145,131,232,126,106,146,80,66,65,31,34,2,1,1,19,14,5,44,19,25,2,1,1,41,17,24,0,0,0,1,1,0,43,19,24,2,1,1,40,17,23,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,252,124,128
03,92,Bellampalle,Mancherial,07,Bheemini,569812,0000,VILLAGE,Wadal,Rural,233,873,431,442,122,61,61,246,133,113,60,32,28,318,192,126,555,239,316,436,225,211,416,216,200,252,125,127,98,41,57,0,0,0,66,50,16,20,9,11,2,2,0,18,7,11,0,0,0,0,0,0,20,9,11,2,2,0,18,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,206,231
03,92,Bellampalle,Mancherial,07,Bheemini,569813,0000,VILLAGE,Pedda_Gudipet,Rural,31,107,52,55,14,6,8,5,4,1,0,0,0,48,27,21,59,25,34,50,36,14,11,8,3,0,0,0,7,5,2,0,0,0,4,3,1,39,28,11,32,23,9,7,5,2,0,0,0,0,0,0,39,28,11,32,23,9,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,16,41
03,92,Bellampalle,Mancherial,08,Kannepalli,569814,0000,VILLAGE,Surjapur,Rural,273,917,451,466,99,49,50,339,168,171,23,11,12,333,188,145,584,263,321,549,277,272,434,228,206,201,111,90,184,86,98,8,6,2,41,25,16,115,49,66,2,0,2,104,45,59,1,0,1,8,4,4,114,49,65,2,0,2,103,45,58,1,0,1,8,4,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,368,174,194
03,92,Bellampalle,Mancherial,08,Kannepalli,569815,0000,VILLAGE,Babapur,Rural,19,60,26,34,5,1,4,5,3,2,1,0,1,18,10,8,42,16,26,38,17,21,36,16,20,21,10,11,13,5,8,0,0,0,2,1,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,22,9,13
03,92,Bellampalle,Mancherial,07,Bheemini,569816,0000,VILLAGE,Rajaram,Rural,59,225,120,105,19,11,8,168,89,79,57,31,26,90,58,32,135,62,73,110,67,43,13,10,3,0,0,0,3,3,0,0,0,0,10,7,3,97,57,40,84,52,32,13,5,8,0,0,0,0,0,0,97,57,40,84,52,32,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,53,62
03,92,Bellampalle,Mancherial,07,Bheemini,569817,0000,VILLAGE,Peddapeta,Rural,121,523,259,264,78,39,39,74,38,36,0,0,0,177,97,80,346,162,184,330,159,171,48,40,8,33,32,1,1,1,0,5,2,3,9,5,4,282,119,163,12,5,7,269,114,155,1,0,1,0,0,0,280,118,162,11,4,7,268,114,154,1,0,1,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,193,100,93
03,92,Bellampalle,Mancherial,07,Bheemini,569818,0000,VILLAGE,Bheemini,Rural,602,2436,1240,1196,279,162,117,422,221,201,130,66,64,894,519,375,1542,721,821,1198,694,504,686,539,147,356,247,109,90,81,9,4,4,0,236,207,29,512,155,357,12,7,5,480,136,344,0,0,0,20,12,8,480,150,330,10,6,4,451,133,318,0,0,0,19,11,8,32,5,27,2,1,1,29,3,26,0,0,0,1,1,0,1238,546,692
03,92,Bellampalle,Mancherial,07,Bheemini,569821,0000,VILLAGE,Bitturpalle,Rural,129,519,267,252,76,42,34,136,73,63,0,0,0,251,147,104,268,120,148,251,155,96,240,152,88,81,55,26,107,56,51,0,0,0,52,41,11,11,3,8,2,1,1,9,2,7,0,0,0,0,0,0,7,3,4,2,1,1,5,2,3,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,268,112,156
03,92,Bellampalle,Mancherial,07,Bheemini,569822,0000,VILLAGE,Mallidi,Rural,295,1142,588,554,161,69,92,249,129,120,72,33,39,476,302,174,666,286,380,571,323,248,568,322,246,239,143,96,253,116,137,11,6,5,65,57,8,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,571,265,306
03,92,Bellampalle,Mancherial,07,Bheemini,569823,0000,VILLAGE,Venkatapur,Rural,243,918,466,452,101,49,52,140,63,77,1,1,0,357,203,154,561,263,298,528,313,215,528,313,215,408,244,164,113,65,48,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,153,237
03,92,Bellampalle,Mancherial,08,Kannepalli,569824,0000,VILLAGE,Lingapur,Rural,81,271,146,125,22,16,6,0,0,0,0,0,0,119,76,43,152,70,82,111,71,40,111,71,40,73,62,11,28,1,27,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,75,85
03,92,Bellampalle,Mancherial,08,Kannepalli,569826,0000,VILLAGE,Gollaghat,Rural,137,517,283,234,66,45,21,98,54,44,0,0,0,189,119,70,328,164,164,272,145,127,269,144,125,92,58,34,150,69,81,16,8,8,11,9,2,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,245,138,107
03,92,Bellampalle,Mancherial,07,Bheemini,569827,0000,VILLAGE,Veegaon,Rural,386,1696,870,826,237,125,112,305,164,141,26,14,12,580,354,226,1116,516,600,893,483,410,886,479,407,82,49,33,530,204,326,50,38,12,224,188,36,7,4,3,0,0,0,5,2,3,0,0,0,2,2,0,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,5,3,2,0,0,0,4,2,2,0,0,0,1,1,0,803,387,416
