DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
17,91,Medak,Medak,01,Shankarampet_A,572838,0000,VILLAGE,Tenkati,Rural,882,3577,1763,1814,508,237,271,617,295,322,27,11,16,1549,964,585,2028,799,1229,1895,971,924,740,639,101,331,313,18,139,99,40,34,28,6,236,199,37,1155,332,823,169,48,121,902,249,653,10,2,8,74,33,41,1062,306,756,146,39,107,850,236,614,4,2,2,62,29,33,93,26,67,23,9,14,52,13,39,6,0,6,12,4,8,1682,792,890
17,91,Medak,Medak,01,Shankarampet_A,572841,0000,VILLAGE,Cheelapalle,Rural,397,1764,893,871,235,128,107,432,229,203,0,0,0,683,392,291,1081,501,580,934,483,451,574,387,187,271,236,35,253,111,142,4,3,1,46,37,9,360,96,264,6,5,1,302,57,245,6,3,3,46,31,15,332,79,253,6,5,1,289,50,239,6,3,3,31,21,10,28,17,11,0,0,0,13,7,6,0,0,0,15,10,5,830,410,420
17,91,Medak,Medak,01,Shankarampet_A,572842,0000,VILLAGE,Uthloor,Rural,458,2406,1199,1207,311,155,156,343,167,176,0,0,0,1068,655,413,1338,544,794,1314,684,630,1166,652,514,635,378,257,439,195,244,0,0,0,92,79,13,148,32,116,21,7,14,104,13,91,1,1,0,22,11,11,120,23,97,18,5,13,87,10,77,0,0,0,15,8,7,28,9,19,3,2,1,17,3,14,1,1,0,7,3,4,1092,515,577
17,91,Medak,Medak,01,Shankarampet_A,572843,0000,VILLAGE,Narayanapalle,Rural,54,214,102,112,28,12,16,62,28,34,0,0,0,59,35,24,155,67,88,119,59,60,6,3,3,4,2,2,0,0,0,2,1,1,0,0,0,113,56,57,0,0,0,113,56,57,0,0,0,0,0,0,113,56,57,0,0,0,113,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,43,52
17,91,Medak,Medak,01,Shankarampet_A,572844,0000,VILLAGE,Kothepet,Rural,186,789,387,402,109,53,56,144,70,74,0,0,0,283,183,100,506,204,302,434,208,226,36,21,15,23,15,8,2,0,2,0,0,0,11,6,5,398,187,211,38,23,15,352,158,194,5,5,0,3,1,2,387,184,203,38,23,15,342,156,186,4,4,0,3,1,2,11,3,8,0,0,0,10,2,8,1,1,0,0,0,0,355,179,176
17,91,Medak,Medak,01,Shankarampet_A,572846,0000,VILLAGE,Jukal,Rural,484,2010,983,1027,267,136,131,407,195,212,0,0,0,678,385,293,1332,598,734,1074,546,528,742,450,292,706,427,279,7,5,2,0,0,0,29,18,11,332,96,236,19,16,3,300,68,232,1,1,0,12,11,1,315,83,232,19,16,3,290,62,228,1,1,0,5,4,1,17,13,4,0,0,0,10,6,4,0,0,0,7,7,0,936,437,499
17,91,Medak,Medak,01,Shankarampet_A,572847,0000,VILLAGE,Virojipalle,Rural,347,1647,820,827,224,120,104,232,106,126,297,152,145,488,303,185,1159,517,642,906,454,452,222,218,4,202,198,4,2,2,0,0,0,0,18,18,0,684,236,448,3,1,2,612,189,423,4,2,2,65,44,21,553,205,348,2,1,1,493,164,329,2,2,0,56,38,18,131,31,100,1,0,1,119,25,94,2,0,2,9,6,3,741,366,375
17,91,Medak,Medak,01,Shankarampet_A,572848,0000,VILLAGE,Ramajipalle,Rural,295,1411,701,710,182,92,90,307,158,149,9,4,5,461,283,178,950,418,532,761,410,351,68,59,9,41,37,4,0,0,0,0,0,0,27,22,5,693,351,342,161,136,25,469,175,294,7,6,1,56,34,22,693,351,342,161,136,25,469,175,294,7,6,1,56,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,291,359
17,91,Medak,Medak,01,Shankarampet_A,572849,0000,VILLAGE,Sivaipalle,Rural,170,1074,528,546,121,62,59,125,62,63,0,0,0,355,199,156,719,329,390,651,326,325,280,169,111,57,46,11,203,106,97,1,1,0,19,16,3,371,157,214,2,2,0,349,146,203,2,1,1,18,8,10,362,154,208,2,2,0,341,143,198,1,1,0,18,8,10,9,3,6,0,0,0,8,3,5,1,0,1,0,0,0,423,202,221
17,91,Medak,Medak,01,Shankarampet_A,572850,0000,VILLAGE,Danampalle,Rural,121,510,251,259,67,31,36,145,71,74,0,0,0,236,147,89,274,104,170,285,145,140,258,138,120,14,11,3,230,117,113,0,0,0,14,10,4,27,7,20,0,0,0,27,7,20,0,0,0,0,0,0,26,7,19,0,0,0,26,7,19,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,225,106,119
