DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
21,91,Malkajgiri,Medchal Malkajgiri,02,Gandimaisamma Dundigal,574068,0000,VILLAGE,Naglur,Rural,166,744,367,377,100,49,51,322,160,162,0,0,0,400,226,174,344,141,203,426,215,211,283,185,98,30,22,8,167,87,80,2,1,1,84,75,9,143,30,113,12,2,10,117,22,95,1,0,1,13,6,7,143,30,113,12,2,10,117,22,95,1,0,1,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,152,166
21,91,Malkajgiri,Medchal Malkajgiri,02,Gandimaisamma Dundigal,574069,0000,VILLAGE,Shambhipur,Rural,146,687,351,336,101,52,49,0,0,0,0,0,0,315,185,130,372,166,206,378,211,167,366,206,160,37,20,17,211,109,102,4,3,1,114,74,40,12,5,7,3,0,3,1,1,0,0,0,0,8,4,4,11,5,6,3,0,3,1,1,0,0,0,0,7,4,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,309,140,169
21,91,Malkajgiri,Medchal Malkajgiri,03,Bachpalle,574078,0000,WARD,Nizampet,Urban,5517,21272,10924,10348,2881,1513,1368,1143,578,565,598,281,317,15303,8249,7054,5969,2675,3294,8790,6472,2318,7094,5519,1575,38,26,12,110,73,37,416,278,138,6530,5142,1388,1696,953,743,19,10,9,22,10,12,166,64,102,1489,869,620,1641,929,712,19,10,9,18,9,9,158,61,97,1446,849,597,55,24,31,0,0,0,4,1,3,8,3,5,43,20,23,12482,4452,8030
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574081,0000,VILLAGE,Srirangavaram,Rural,768,3241,1648,1593,349,191,158,427,208,219,128,63,65,1858,1101,757,1383,547,836,1446,947,499,1094,765,329,102,83,19,258,123,135,15,11,4,719,548,171,352,182,170,1,1,0,190,85,105,5,3,2,156,93,63,265,137,128,1,1,0,159,74,85,3,1,2,102,61,41,87,45,42,0,0,0,31,11,20,2,2,0,54,32,22,1795,701,1094
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574083,0000,VILLAGE,Bandamadharam,Rural,309,1338,678,660,158,85,73,77,38,39,98,56,42,713,419,294,625,259,366,717,413,304,377,242,135,113,75,38,112,49,63,5,2,3,147,116,31,340,171,169,1,0,1,4,1,3,0,0,0,335,170,165,334,167,167,1,0,1,3,1,2,0,0,0,330,166,164,6,4,2,0,0,0,1,0,1,0,0,0,5,4,1,621,265,356
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574084,0000,VILLAGE,Nuthankal,Rural,465,1867,931,936,266,131,135,380,193,187,6,3,3,1077,614,463,790,317,473,890,528,362,697,497,200,69,54,15,197,117,80,3,3,0,428,323,105,193,31,162,4,1,3,148,18,130,2,0,2,39,12,27,181,29,152,4,1,3,138,18,120,2,0,2,37,10,27,12,2,10,0,0,0,10,0,10,0,0,0,2,2,0,977,403,574
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574085,0000,VILLAGE,Maisireddipalle,Rural,111,450,222,228,55,24,31,206,103,103,19,8,11,257,151,106,193,71,122,227,146,81,223,146,77,54,34,20,109,61,48,3,3,0,57,48,9,4,0,4,0,0,0,3,0,3,0,0,0,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,223,76,147
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574086,0000,VILLAGE,Konaipalle,Rural,93,406,222,184,49,32,17,56,31,25,0,0,0,209,129,80,197,93,104,235,122,113,235,122,113,82,40,42,146,76,70,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,100,71
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574087,0000,VILLAGE,Yellampet,Rural,635,2422,1216,1206,314,151,163,276,127,149,60,37,23,1448,816,632,974,400,574,1194,738,456,1161,722,439,82,45,37,211,83,128,7,3,4,861,591,270,33,16,17,0,0,0,14,3,11,0,0,0,19,13,6,23,10,13,0,0,0,11,3,8,0,0,0,12,7,5,10,6,4,0,0,0,3,0,3,0,0,0,7,6,1,1228,478,750
21,92,Keesara,Medchal Malkajgiri,01,Medchel,574088,0000,VILLAGE,Somaram,Rural,183,790,404,386,112,72,40,155,80,75,6,6,0,368,203,165,422,201,221,393,231,162,391,230,161,60,33,27,288,165,123,0,0,0,43,32,11,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,397,173,224
