DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
32,92,Mulug,Mulug,12,Venkatapur,577853,0000,VILLAGE,Advi_Rangapur,Rural,489,1924,983,941,191,105,86,317,165,152,612,315,297,912,556,356,1012,427,585,1134,558,576,1095,538,557,465,238,227,514,218,296,8,5,3,108,77,31,39,20,19,13,6,7,22,11,11,1,1,0,3,2,1,27,16,11,9,5,4,16,9,7,1,1,0,1,1,0,12,4,8,4,1,3,6,2,4,0,0,0,2,1,1,790,425,365
32,92,Mulug,Mulug,12,Venkatapur,577854,0000,VILLAGE,Thimmapur,Rural,167,583,297,286,53,30,23,79,39,40,238,118,120,238,145,93,345,152,193,355,180,175,348,176,172,82,44,38,240,107,133,4,4,0,22,21,1,7,4,3,2,2,0,5,2,3,0,0,0,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,0,0,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,228,117,111
32,92,Mulug,Mulug,12,Venkatapur,577855,0000,VILLAGE,Lakshmidevipet,Rural,1741,6323,3240,3083,632,300,332,1290,658,632,1322,714,608,3422,2141,1281,2901,1099,1802,3352,1721,1631,2889,1615,1274,638,450,188,1860,832,1028,26,18,8,365,315,50,463,106,357,46,9,37,373,69,304,3,1,2,41,27,14,385,72,313,40,4,36,304,41,263,3,1,2,38,26,12,78,34,44,6,5,1,69,28,41,0,0,0,3,1,2,2971,1519,1452
32,92,Mulug,Mulug,12,Venkatapur,577856,0000,VILLAGE,Ramanathapalle,Rural,125,454,222,232,42,25,17,99,48,51,4,1,3,243,137,106,211,85,126,238,127,111,231,122,109,74,44,30,126,52,74,3,2,1,28,24,4,7,5,2,0,0,0,4,3,1,1,0,1,2,2,0,7,5,2,0,0,0,4,3,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,95,121
32,92,Mulug,Mulug,12,Venkatapur,577857,0000,VILLAGE,Nallagunta,Rural,684,2250,1095,1155,179,90,89,411,197,214,533,260,273,1203,704,499,1047,391,656,1330,689,641,1269,670,599,305,199,106,761,306,455,7,7,0,196,158,38,61,19,42,3,2,1,54,14,40,1,0,1,3,3,0,43,13,30,2,1,1,37,9,28,1,0,1,3,3,0,18,6,12,1,1,0,17,5,12,0,0,0,0,0,0,920,406,514
32,92,Mulug,Mulug,12,Venkatapur,577858,0000,VILLAGE,Ramanujapur,Rural,973,3576,1683,1893,356,176,180,780,390,390,272,102,170,1872,1011,861,1704,672,1032,2032,1013,1019,1449,770,679,676,391,285,666,282,384,15,15,0,92,82,10,583,243,340,13,7,6,566,232,334,0,0,0,4,4,0,576,242,334,12,6,6,560,232,328,0,0,0,4,4,0,7,1,6,1,1,0,6,0,6,0,0,0,0,0,0,1544,670,874
32,92,Mulug,Mulug,12,Venkatapur,577859,0000,VILLAGE,Narasapuram,Rural,2077,7792,3928,3864,686,359,327,1414,720,694,550,279,271,4197,2547,1650,3595,1381,2214,4411,2193,2218,4091,2135,1956,1398,800,598,2277,981,1296,27,22,5,389,332,57,320,58,262,5,2,3,278,39,239,3,1,2,34,16,18,286,37,249,3,1,2,248,20,228,1,0,1,34,16,18,34,21,13,2,1,1,30,19,11,2,1,1,0,0,0,3381,1735,1646
32,92,Mulug,Mulug,12,Venkatapur,577860,0000,VILLAGE,Palampet,Rural,504,1925,941,984,231,116,115,294,148,146,95,47,48,1078,635,443,847,306,541,1116,539,577,1116,539,577,111,71,40,876,361,515,9,7,2,120,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,402,407
32,92,Mulug,Mulug,12,Venkatapur,577861,0000,VILLAGE,Venkatapuram,Rural,2295,8332,4161,4171,825,423,402,1454,784,670,581,278,303,4520,2682,1838,3812,1479,2333,4670,2328,2342,4127,2231,1896,1167,747,420,2209,931,1278,72,54,18,679,499,180,543,97,446,22,6,16,457,61,396,4,1,3,60,29,31,502,80,422,22,6,16,429,49,380,4,1,3,47,24,23,41,17,24,0,0,0,28,12,16,0,0,0,13,5,8,3662,1833,1829
32,92,Mulug,Mulug,17,Kannaigudem,577863,0000,VILLAGE,Bhupathipuram,Rural,78,264,130,134,49,28,21,0,0,0,255,127,128,67,47,20,197,83,114,196,91,105,162,82,80,0,0,0,161,81,80,1,1,0,0,0,0,34,9,25,0,0,0,34,9,25,0,0,0,0,0,0,19,7,12,0,0,0,19,7,12,0,0,0,0,0,0,15,2,13,0,0,0,15,2,13,0,0,0,0,0,0,68,39,29
32,92,Mulug,Mulug,17,Kannaigudem,577865,0000,VILLAGE,Rajannapeta,Rural,72,254,130,124,32,18,14,2,1,1,251,129,122,98,63,35,156,67,89,203,103,100,190,97,93,161,86,75,28,10,18,0,0,0,1,1,0,13,6,7,9,3,6,2,1,1,0,0,0,2,2,0,9,4,5,6,2,4,1,0,1,0,0,0,2,2,0,4,2,2,3,1,2,1,1,0,0,0,0,0,0,0,51,27,24
32,92,Mulug,Mulug,17,Kannaigudem,577867,0000,VILLAGE,Gangaram_PG,Rural,45,160,86,74,16,10,6,2,1,1,155,83,72,79,54,25,81,32,49,128,68,60,8,4,4,3,2,1,1,0,1,0,0,0,4,2,2,120,64,56,74,46,28,37,11,26,1,0,1,8,7,1,113,60,53,73,46,27,31,7,24,1,0,1,8,7,1,7,4,3,1,0,1,6,4,2,0,0,0,0,0,0,32,18,14
