DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575308,0000,VILLAGE,Kuppagandla,Rural,876,3785,1897,1888,566,299,267,455,231,224,1873,966,907,1500,922,578,2285,975,1310,1960,1004,956,1929,989,940,915,568,347,737,185,552,6,3,3,271,233,38,31,15,16,4,3,1,13,4,9,0,0,0,14,8,6,31,15,16,4,3,1,13,4,9,0,0,0,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,893,932
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575309,0000,VILLAGE,Peddapur,Rural,567,2240,1140,1100,251,145,106,580,299,281,289,152,137,1161,718,443,1079,422,657,1164,631,533,1157,627,530,274,154,120,613,262,351,4,1,3,266,210,56,7,4,3,2,1,1,4,2,2,0,0,0,1,1,0,4,2,2,1,1,0,3,1,2,0,0,0,0,0,0,3,2,1,1,0,1,1,1,0,0,0,0,1,1,0,1076,509,567
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575310,0000,VILLAGE,Cherkur,Rural,1412,5810,2976,2834,736,372,364,1006,512,494,2178,1134,1044,2395,1560,835,3415,1416,1999,3444,1804,1640,2801,1523,1278,1356,874,482,1066,333,733,43,31,12,336,285,51,643,281,362,40,33,7,506,180,326,18,7,11,79,61,18,551,212,339,9,5,4,450,143,307,18,7,11,74,57,17,92,69,23,31,28,3,56,37,19,0,0,0,5,4,1,2366,1172,1194
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575311,0000,VILLAGE,Koneduvada,Rural,112,482,255,227,100,54,46,0,0,0,467,246,221,120,89,31,362,166,196,297,149,148,292,144,148,178,101,77,100,33,67,1,0,1,13,10,3,5,5,0,4,4,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,185,106,79
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575312,0000,VILLAGE,Bollampalle,Rural,589,2318,1176,1142,271,149,122,608,308,300,352,185,167,1072,652,420,1246,524,722,1368,697,671,1356,689,667,594,373,221,632,209,423,5,4,1,125,103,22,12,8,4,1,0,1,9,6,3,0,0,0,2,2,0,5,4,1,1,0,1,4,4,0,0,0,0,0,0,0,7,4,3,0,0,0,5,2,3,0,0,0,2,2,0,950,479,471
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575313,0000,VILLAGE,Chedurvalli,Rural,634,2648,1386,1262,318,187,131,478,247,231,1610,860,750,1037,682,355,1611,704,907,1677,888,789,1532,811,721,538,328,210,700,261,439,7,6,1,287,216,71,145,77,68,49,24,25,37,10,27,10,5,5,49,38,11,121,66,55,44,22,22,24,7,17,10,5,5,43,32,11,24,11,13,5,2,3,13,3,10,0,0,0,6,6,0,971,498,473
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575314,0000,VILLAGE,Ajilapur,Rural,560,2039,1055,984,245,132,113,353,184,169,410,206,204,838,528,310,1201,527,674,1202,631,571,1069,578,491,389,324,65,506,104,402,5,5,0,169,145,24,133,53,80,3,1,2,76,24,52,6,2,4,48,26,22,74,27,47,3,1,2,32,6,26,5,2,3,34,18,16,59,26,33,0,0,0,44,18,26,1,0,1,14,8,6,837,424,413
28,92,Kalwakurthy,Nagarkurnool,06,Veldanda,575315,0000,VILLAGE,Bhairpur,Rural,444,1851,932,919,241,121,120,329,159,170,524,266,258,732,467,265,1119,465,654,1086,569,517,966,515,451,417,251,166,412,156,256,10,9,1,127,99,28,120,54,66,6,3,3,70,32,38,0,0,0,44,19,25,119,53,66,6,3,3,70,32,38,0,0,0,43,18,25,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,765,363,402
28,92,Kalwakurthy,Nagarkurnool,07,Charakonda,575316,0000,VILLAGE,Seriappareddipalle,Rural,244,912,442,470,104,45,59,209,98,111,383,188,195,373,239,134,539,203,336,571,282,289,526,274,252,215,109,106,170,47,123,3,3,0,138,115,23,45,8,37,8,4,4,29,2,27,0,0,0,8,2,6,16,2,14,4,2,2,6,0,6,0,0,0,6,0,6,29,6,23,4,2,2,23,2,21,0,0,0,2,2,0,341,160,181
28,92,Kalwakurthy,Nagarkurnool,07,Charakonda,575317,0000,VILLAGE,Gokaram,Rural,482,1924,951,973,208,107,101,469,230,239,10,6,4,791,480,311,1133,471,662,1157,591,566,1130,584,546,485,313,172,462,123,339,18,11,7,165,137,28,27,7,20,3,1,2,15,4,11,3,0,3,6,2,4,23,7,16,3,1,2,13,4,9,1,0,1,6,2,4,4,0,4,0,0,0,2,0,2,2,0,2,0,0,0,767,360,407
