DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
29,91,Nalgonda,Nalgonda,04,Saligouraram,576659,0000,VILLAGE,Uppalancha,Rural,412,1663,858,805,176,88,88,303,155,148,33,15,18,840,527,313,823,331,492,955,491,464,655,449,206,300,228,72,225,111,114,33,26,7,97,84,13,300,42,258,4,2,2,225,22,203,14,5,9,57,13,44,255,36,219,3,2,1,200,20,180,13,5,8,39,9,30,45,6,39,1,0,1,25,2,23,1,0,1,18,4,14,708,367,341
29,91,Nalgonda,Nalgonda,04,Saligouraram,576660,0000,VILLAGE,Baironi banda,Rural,440,1862,932,930,219,115,104,508,244,264,54,29,25,1031,578,453,831,354,477,1056,540,516,1044,533,511,526,299,227,400,155,245,17,8,9,101,71,30,12,7,5,0,0,0,2,1,1,8,5,3,2,1,1,8,5,3,0,0,0,0,0,0,8,5,3,0,0,0,4,2,2,0,0,0,2,1,1,0,0,0,2,1,1,806,392,414
29,91,Nalgonda,Nalgonda,04,Saligouraram,576661,0000,VILLAGE,Thakkedla Pahad,Rural,290,1153,590,563,120,65,55,323,171,152,0,0,0,612,368,244,541,222,319,626,319,307,504,300,204,177,126,51,252,119,133,1,0,1,74,55,19,122,19,103,3,2,1,109,13,96,7,2,5,3,2,1,121,19,102,3,2,1,108,13,95,7,2,5,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,527,271,256
29,91,Nalgonda,Nalgonda,04,Saligouraram,576662,0000,VILLAGE,Akkaram,Rural,897,3496,1730,1766,363,191,172,816,417,399,38,19,19,1866,1062,804,1630,668,962,1927,989,938,1713,909,804,420,265,155,1146,525,621,18,13,5,129,106,23,214,80,134,5,1,4,197,75,122,3,1,2,9,3,6,204,76,128,5,1,4,190,72,118,2,1,1,7,2,5,10,4,6,0,0,0,7,3,4,1,0,1,2,1,1,1569,741,828
29,91,Nalgonda,Nalgonda,04,Saligouraram,576663,0000,VILLAGE,Vaddipamula,Rural,60,240,123,117,25,13,12,105,52,53,0,0,0,132,79,53,108,44,64,137,66,71,137,66,71,50,26,24,82,36,46,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,57,46
29,91,Nalgonda,Nalgonda,04,Saligouraram,576664,0000,VILLAGE,Nulagadda Kothapalle,Rural,458,1796,895,901,170,81,89,583,290,293,0,0,0,955,542,413,841,353,488,937,506,431,886,479,407,168,152,16,591,239,352,4,4,0,123,84,39,51,27,24,4,3,1,43,21,22,0,0,0,4,3,1,48,25,23,4,3,1,41,20,21,0,0,0,3,2,1,3,2,1,0,0,0,2,1,1,0,0,0,1,1,0,859,389,470
29,91,Nalgonda,Nalgonda,04,Saligouraram,576665,0000,VILLAGE,Manimadde,Rural,331,1191,592,599,103,55,48,306,150,156,66,28,38,624,381,243,567,211,356,659,330,329,377,194,183,27,18,9,237,100,137,12,7,5,101,69,32,282,136,146,38,32,6,205,78,127,3,3,0,36,23,13,282,136,146,38,32,6,205,78,127,3,3,0,36,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,262,270
29,91,Nalgonda,Nalgonda,04,Saligouraram,576666,0000,VILLAGE,Gurijala,Rural,458,1826,936,890,142,74,68,449,250,199,7,3,4,1015,620,395,811,316,495,1082,559,523,954,494,460,139,108,31,715,313,402,8,6,2,92,67,25,128,65,63,5,3,2,63,21,42,2,1,1,58,40,18,127,65,62,5,3,2,63,21,42,2,1,1,57,40,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,744,377,367
29,91,Nalgonda,Nalgonda,04,Saligouraram,576667,0000,VILLAGE,Tudimidi,Rural,198,846,428,418,80,41,39,68,36,32,0,0,0,474,277,197,372,151,221,460,238,222,456,236,220,204,118,86,217,91,126,1,1,0,34,26,8,4,2,2,1,1,0,3,1,2,0,0,0,0,0,0,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,386,190,196
29,91,Nalgonda,Nalgonda,04,Saligouraram,576668,0000,VILLAGE,Sali Lingotam,Rural,398,1382,689,693,148,70,78,286,155,131,67,35,32,761,447,314,621,242,379,663,344,319,491,313,178,123,122,1,274,110,164,2,2,0,92,79,13,172,31,141,0,0,0,157,23,134,2,1,1,13,7,6,171,31,140,0,0,0,156,23,133,2,1,1,13,7,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,719,345,374
