DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,92,Narayanpet,Narayanpet,13,Kosgi,574945,0000,VILLAGE,Kothapalle,Rural,156,724,370,354,101,53,48,174,87,87,0,0,0,358,222,136,366,148,218,378,211,167,204,161,43,119,113,6,62,29,33,0,0,0,23,19,4,174,50,124,8,3,5,157,39,118,1,0,1,8,8,0,165,46,119,6,2,4,152,38,114,1,0,1,6,6,0,9,4,5,2,1,1,5,1,4,0,0,0,2,2,0,346,159,187
33,92,Narayanpet,Narayanpet,13,Kosgi,574946,0000,VILLAGE,Lodhipur,Rural,93,389,192,197,63,31,32,98,51,47,0,0,0,124,81,43,265,111,154,239,117,122,172,82,90,34,19,15,129,57,72,0,0,0,9,6,3,67,35,32,9,6,3,44,19,25,0,0,0,14,10,4,53,27,26,6,5,1,40,17,23,0,0,0,7,5,2,14,8,6,3,1,2,4,2,2,0,0,0,7,5,2,150,75,75
33,92,Narayanpet,Narayanpet,13,Kosgi,574947,0000,VILLAGE,Chandravancha,Rural,266,1305,645,660,144,65,79,260,134,126,0,0,0,592,374,218,713,271,442,784,412,372,782,411,371,217,176,41,463,162,301,4,4,0,98,69,29,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,233,288
33,92,Narayanpet,Narayanpet,13,Kosgi,574948,0000,VILLAGE,Nacharam,Rural,326,1707,866,841,210,115,95,355,183,172,5,3,2,580,370,210,1127,496,631,1008,514,494,951,489,462,272,156,116,470,201,269,51,26,25,158,106,52,57,25,32,8,7,1,20,6,14,10,5,5,19,7,12,44,23,21,6,6,0,16,6,10,5,4,1,17,7,10,13,2,11,2,1,1,4,0,4,5,1,4,2,0,2,699,352,347
33,92,Narayanpet,Narayanpet,13,Kosgi,574949,0000,VILLAGE,Thogapur,Rural,442,2013,986,1027,285,148,137,358,187,171,94,51,43,887,535,352,1126,451,675,1070,548,522,927,484,443,342,239,103,439,163,276,47,27,20,99,55,44,143,64,79,22,11,11,62,26,36,10,3,7,49,24,25,142,63,79,22,11,11,61,25,36,10,3,7,49,24,25,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,943,438,505
33,92,Narayanpet,Narayanpet,13,Kosgi,574950,0000,VILLAGE,Ejipoor,Rural,54,270,132,138,36,20,16,0,0,0,0,0,0,124,69,55,146,63,83,127,69,58,125,69,56,82,64,18,41,3,38,0,0,0,2,2,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,63,80
33,92,Narayanpet,Narayanpet,13,Kosgi,574951,0000,VILLAGE,Sarjakhanpet,Rural,593,2787,1349,1438,320,167,153,390,187,203,0,0,0,1395,816,579,1392,533,859,1282,693,589,1101,642,459,326,247,79,445,147,298,85,51,34,245,197,48,181,51,130,4,2,2,133,25,108,15,6,9,29,18,11,173,47,126,4,2,2,132,24,108,15,6,9,22,15,7,8,4,4,0,0,0,1,1,0,0,0,0,7,3,4,1505,656,849
33,92,Narayanpet,Narayanpet,13,Kosgi,574952,0000,VILLAGE,Kosgi,Rural,4366,21215,10606,10609,2829,1472,1357,2949,1437,1512,47,25,22,11249,6573,4676,9966,4033,5933,9910,5717,4193,8973,5325,3648,2092,1509,583,3111,1020,2091,449,213,236,3321,2583,738,937,392,545,25,11,14,561,208,353,38,9,29,313,164,149,847,363,484,20,8,12,511,200,311,32,7,25,284,148,136,90,29,61,5,3,2,50,8,42,6,2,4,29,16,13,11305,4889,6416
33,92,Narayanpet,Narayanpet,13,Kosgi,574953,0000,VILLAGE,Mungimalla,Rural,274,1166,565,601,150,79,71,125,54,71,0,0,0,504,302,202,662,263,399,657,331,326,648,330,318,264,193,71,183,17,166,14,7,7,187,113,74,9,1,8,1,0,1,5,0,5,2,0,2,1,1,0,7,0,7,1,0,1,4,0,4,2,0,2,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,509,234,275
33,92,Narayanpet,Narayanpet,13,Kosgi,574954,0000,VILLAGE,Mukthipahad,Rural,130,618,314,304,76,50,26,183,85,98,0,0,0,335,199,136,283,115,168,387,190,197,387,190,197,102,98,4,246,62,184,0,0,0,39,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,124,107
33,92,Narayanpet,Narayanpet,13,Kosgi,574955,0000,VILLAGE,Mushrifa,Rural,726,3414,1673,1741,475,235,240,828,408,420,443,223,220,1370,823,547,2044,850,1194,1893,925,968,1765,905,860,829,506,323,700,233,467,20,7,13,216,159,57,128,20,108,16,1,15,93,16,77,2,0,2,17,3,14,92,13,79,10,0,10,64,10,54,2,0,2,16,3,13,36,7,29,6,1,5,29,6,23,0,0,0,1,0,1,1521,748,773
33,92,Narayanpet,Narayanpet,13,Kosgi,574956,0000,VILLAGE,Mirzapur,Rural,390,1613,797,816,184,89,95,238,123,115,3,1,2,775,476,299,838,321,517,831,441,390,724,424,300,164,156,8,523,239,284,7,6,1,30,23,7,107,17,90,2,2,0,105,15,90,0,0,0,0,0,0,107,17,90,2,2,0,105,15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,356,426
