DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
04,91,Nirmal,Nirmal,18,Kaddampeddur,570035,0000,VILLAGE,Gangapur,Rural,434,1959,958,1001,224,110,114,8,1,7,1296,648,648,652,389,263,1307,569,738,1252,624,628,1117,557,560,303,183,120,702,320,382,75,24,51,37,30,7,135,67,68,6,3,3,84,39,45,38,23,15,7,2,5,49,21,28,3,2,1,38,16,22,3,2,1,5,1,4,86,46,40,3,1,2,46,23,23,35,21,14,2,1,1,707,334,373
04,91,Nirmal,Nirmal,18,Kaddampeddur,570036,0000,VILLAGE,Allampally,Rural,536,2286,1135,1151,396,189,207,114,58,56,954,470,484,829,520,309,1457,615,842,1250,617,633,788,391,397,353,174,179,394,193,201,11,5,6,30,19,11,462,226,236,202,127,75,226,81,145,12,3,9,22,15,7,379,194,185,197,124,73,158,56,102,9,3,6,15,11,4,83,32,51,5,3,2,68,25,43,3,0,3,7,4,3,1036,518,518
04,91,Nirmal,Nirmal,18,Kaddampeddur,570037,0000,VILLAGE,Rampur,Rural,47,230,112,118,24,12,12,0,0,0,225,110,115,86,49,37,144,63,81,163,83,80,155,79,76,59,29,30,86,44,42,0,0,0,10,6,4,8,4,4,0,0,0,8,4,4,0,0,0,0,0,0,8,4,4,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,29,38
04,91,Nirmal,Nirmal,18,Kaddampeddur,570038,0000,VILLAGE,Gandigopalpur,Rural,99,404,193,211,51,28,23,0,0,0,384,184,200,129,68,61,275,125,150,261,125,136,259,125,134,163,78,85,94,46,48,0,0,0,2,1,1,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,68,75
04,91,Nirmal,Nirmal,18,Kaddampeddur,570039,0000,VILLAGE,Istampur,Rural,103,465,228,237,69,36,33,21,13,8,418,199,219,154,101,53,311,127,184,307,142,165,280,129,151,272,125,147,5,1,4,0,0,0,3,3,0,27,13,14,9,5,4,14,7,7,4,1,3,0,0,0,22,11,11,7,4,3,11,6,5,4,1,3,0,0,0,5,2,3,2,1,1,3,1,2,0,0,0,0,0,0,158,86,72
04,91,Nirmal,Nirmal,18,Kaddampeddur,570040,0000,VILLAGE,Udumpur,Rural,303,1301,634,667,148,68,80,184,85,99,340,167,173,682,398,284,619,236,383,780,394,386,740,379,361,176,87,89,451,219,232,13,6,7,100,67,33,40,15,25,4,2,2,27,9,18,1,0,1,8,4,4,40,15,25,4,2,2,27,9,18,1,0,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,240,281
04,91,Nirmal,Nirmal,18,Kaddampeddur,570041,0000,VILLAGE,Maisampet,Rural,56,219,102,117,29,10,19,0,0,0,218,101,117,53,33,20,166,69,97,139,67,72,99,48,51,18,9,9,81,39,42,0,0,0,0,0,0,40,19,21,0,0,0,40,19,21,0,0,0,0,0,0,40,19,21,0,0,0,40,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,35,45
04,91,Nirmal,Nirmal,18,Kaddampeddur,570042,0000,VILLAGE,Dharmajipet,Rural,4,11,5,6,3,1,2,0,0,0,11,5,6,0,0,0,11,5,6,8,4,4,8,4,4,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
04,91,Nirmal,Nirmal,18,Kaddampeddur,570043,0000,VILLAGE,Kalleda,Rural,228,907,440,467,87,37,50,55,29,26,126,56,70,438,268,170,469,172,297,512,245,267,353,173,180,236,118,118,46,17,29,30,14,16,41,24,17,159,72,87,45,23,22,89,35,54,6,2,4,19,12,7,149,69,80,44,22,22,83,35,48,5,1,4,17,11,6,10,3,7,1,1,0,6,0,6,1,1,0,2,1,1,395,195,200
04,91,Nirmal,Nirmal,18,Kaddampeddur,570044,0000,VILLAGE,Laxmipur,Rural,115,393,187,206,31,8,23,110,53,57,142,70,72,187,116,71,206,71,135,252,123,129,249,120,129,70,35,35,113,53,60,30,13,17,36,19,17,3,3,0,0,0,0,0,0,0,1,1,0,2,2,0,3,3,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,64,77
04,91,Nirmal,Nirmal,18,Kaddampeddur,570045,0000,VILLAGE,Ravajipet(old),Rural,23,109,62,47,8,5,3,0,0,0,105,60,45,38,30,8,71,32,39,67,30,37,67,30,37,61,29,32,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,10
