DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
07,91,Peddapalle,Peddapalli,02,Palakurthy,571736,0000,VILLAGE,Kukkalagudur,Rural,749,2830,1436,1394,255,144,111,455,218,237,12,6,6,1279,771,508,1551,665,886,1477,797,680,1470,793,677,250,200,50,906,336,570,35,23,12,279,234,45,7,4,3,1,0,1,3,2,1,0,0,0,3,2,1,6,4,2,1,0,1,2,2,0,0,0,0,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1353,639,714
07,91,Peddapalle,Peddapalli,02,Palakurthy,571737,0000,VILLAGE,Vemnoor,Rural,224,830,406,424,75,43,32,199,95,104,0,0,0,372,219,153,458,187,271,428,224,204,428,224,204,94,50,44,290,138,152,5,5,0,39,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,182,220
07,91,Peddapalle,Peddapalli,03,Antargoan,571738,0000,VILLAGE,Maddiriyala,Rural,258,963,475,488,119,55,64,209,101,108,0,0,0,488,288,200,475,187,288,368,271,97,352,266,86,109,98,11,183,115,68,2,2,0,58,51,7,16,5,11,1,1,0,11,3,8,0,0,0,4,1,3,13,3,10,0,0,0,9,2,7,0,0,0,4,1,3,3,2,1,1,1,0,2,1,1,0,0,0,0,0,0,595,204,391
07,91,Peddapalle,Peddapalli,03,Antargoan,571739,0000,VILLAGE,Potial,Rural,615,2228,1108,1120,250,120,130,593,282,311,0,0,0,1110,658,452,1118,450,668,1136,635,501,1015,609,406,308,199,109,583,313,270,9,8,1,115,89,26,121,26,95,2,1,1,108,16,92,1,1,0,10,8,2,112,20,92,2,1,1,104,14,90,1,1,0,5,4,1,9,6,3,0,0,0,4,2,2,0,0,0,5,4,1,1092,473,619
07,91,Peddapalle,Peddapalli,03,Antargoan,571740,0000,VILLAGE,Somanapalle,Rural,214,797,397,400,57,34,23,239,124,115,0,0,0,369,211,158,428,186,242,422,247,175,225,216,9,101,100,1,31,27,4,6,6,0,87,83,4,197,31,166,1,1,0,170,18,152,7,2,5,19,10,9,188,28,160,1,1,0,163,15,148,5,2,3,19,10,9,9,3,6,0,0,0,7,3,4,2,0,2,0,0,0,375,150,225
07,91,Peddapalle,Peddapalli,03,Antargoan,571741,0000,VILLAGE,Murmoor,Rural,906,2953,1515,1438,351,188,163,916,480,436,0,0,0,1475,831,644,1478,684,794,1545,897,648,1026,629,397,105,87,18,679,359,320,8,4,4,234,179,55,519,268,251,11,6,5,237,125,112,0,0,0,271,137,134,507,261,246,11,6,5,232,122,110,0,0,0,264,133,131,12,7,5,0,0,0,5,3,2,0,0,0,7,4,3,1408,618,790
07,91,Peddapalle,Peddapalli,03,Antargoan,571742,0000,VILLAGE,Yellampalle,Rural,305,1361,681,680,180,96,84,123,62,61,9,7,2,548,308,240,813,373,440,704,383,321,367,255,112,53,43,10,278,182,96,6,4,2,30,26,4,337,128,209,22,0,22,302,119,183,2,1,1,11,8,3,309,121,188,16,0,16,282,113,169,1,1,0,10,7,3,28,7,21,6,0,6,20,6,14,1,0,1,1,1,0,657,298,359
07,91,Peddapalle,Peddapalli,03,Antargoan,571743,0000,VILLAGE,Goelwada,Rural,598,2310,1160,1150,219,113,106,532,274,258,44,19,25,1275,733,542,1035,427,608,1267,725,542,914,613,301,180,153,27,491,263,228,4,3,1,239,194,45,353,112,241,79,23,56,265,82,183,0,0,0,9,7,2,259,77,182,53,15,38,200,58,142,0,0,0,6,4,2,94,35,59,26,8,18,65,24,41,0,0,0,3,3,0,1043,435,608
07,91,Peddapalle,Peddapalli,03,Antargoan,571744,0000,VILLAGE,Antargoan,Rural,357,1356,663,693,155,75,80,695,336,359,66,34,32,757,430,327,599,233,366,579,376,203,510,359,151,17,10,7,222,119,103,4,3,1,267,227,40,69,17,52,0,0,0,51,8,43,4,2,2,14,7,7,21,9,12,0,0,0,13,4,9,0,0,0,8,5,3,48,8,40,0,0,0,38,4,34,4,2,2,6,2,4,777,287,490
07,91,Peddapalle,Peddapalli,03,Antargoan,571745,0000,VILLAGE,Brahmanapalle,Rural,499,1798,876,922,163,80,83,782,377,405,224,107,117,881,508,373,917,368,549,650,474,176,321,211,110,20,19,1,280,175,105,0,0,0,21,17,4,329,263,66,1,1,0,288,222,66,37,37,0,3,3,0,328,263,65,1,1,0,287,222,65,37,37,0,3,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1148,402,746
07,91,Peddapalle,Peddapalli,03,Antargoan,571746,0000,VILLAGE,Akenpalle,Rural,299,1054,529,525,109,57,52,209,104,105,0,0,0,491,277,214,563,252,311,574,303,271,414,230,184,70,47,23,272,124,148,4,4,0,68,55,13,160,73,87,4,3,1,146,64,82,0,0,0,10,6,4,152,68,84,3,2,1,140,60,80,0,0,0,9,6,3,8,5,3,1,1,0,6,4,2,0,0,0,1,0,1,480,226,254
