DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
14,92,Vemulawada,Rajanna Sircilla,01,Rudrangi,570842,0000,VILLAGE,Manal,Rural,1368,6086,2972,3114,830,432,398,129,63,66,3950,1971,1979,2328,1442,886,3758,1530,2228,3461,1639,1822,2424,1345,1079,648,583,65,1427,616,811,213,49,164,136,97,39,1037,294,743,34,22,12,925,228,697,20,12,8,58,32,26,961,266,695,30,18,12,866,214,652,17,10,7,48,24,24,76,28,48,4,4,0,59,14,45,3,2,1,10,8,2,2625,1333,1292
14,92,Vemulawada,Rajanna Sircilla,01,Rudrangi,572158,0000,VILLAGE,Rudrangi,Rural,2499,10009,4886,5123,960,473,487,1427,699,728,328,173,155,5297,3048,2249,4712,1838,2874,5532,2803,2729,5273,2700,2573,1350,797,553,1750,1028,722,916,136,780,1257,739,518,259,103,156,28,15,13,150,62,88,29,1,28,52,25,27,227,90,137,22,11,11,131,54,77,26,1,25,48,24,24,32,13,19,6,4,2,19,8,11,3,0,3,4,1,3,4477,2083,2394
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572159,0000,VILLAGE,Mallial,Rural,1219,5088,2543,2545,440,216,224,1083,556,527,23,8,15,2816,1665,1151,2272,878,1394,3003,1596,1407,2556,1444,1112,1146,736,410,848,433,415,48,10,38,514,265,249,447,152,295,71,42,29,250,56,194,13,1,12,113,53,60,385,125,260,64,37,27,216,43,173,12,1,11,93,44,49,62,27,35,7,5,2,34,13,21,1,0,1,20,9,11,2085,947,1138
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572160,0000,VILLAGE,Chandurthi,Rural,1243,4936,2501,2435,411,220,191,1076,531,545,55,44,11,2886,1719,1167,2050,782,1268,2720,1415,1305,2224,1245,979,692,493,199,655,331,324,391,115,276,486,306,180,496,170,326,43,20,23,265,103,162,85,14,71,103,33,70,443,149,294,42,19,23,227,87,140,77,13,64,97,30,67,53,21,32,1,1,0,38,16,22,8,1,7,6,3,3,2216,1086,1130
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572161,0000,VILLAGE,Thimmapuram(PN),Rural,683,2543,1270,1273,200,104,96,530,271,259,2,1,1,1281,752,529,1262,518,744,1485,760,725,1159,656,503,406,244,162,560,286,274,53,19,34,140,107,33,326,104,222,8,4,4,153,53,100,111,13,98,54,34,20,270,94,176,7,4,3,122,50,72,94,9,85,47,31,16,56,10,46,1,0,1,31,3,28,17,4,13,7,3,4,1058,510,548
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572162,0000,VILLAGE,Ananthapalle(PK),Rural,135,534,266,268,41,19,22,35,18,17,0,0,0,235,145,90,299,121,178,331,159,172,313,152,161,124,64,60,97,47,50,13,8,5,79,33,46,18,7,11,0,0,0,7,2,5,0,0,0,11,5,6,10,4,6,0,0,0,6,2,4,0,0,0,4,2,2,8,3,5,0,0,0,1,0,1,0,0,0,7,3,4,203,107,96
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572163,0000,VILLAGE,Marrigadda,Rural,517,2107,1046,1061,167,84,83,324,165,159,1,0,1,1137,677,460,970,369,601,1225,656,569,1212,653,559,348,196,152,436,273,163,240,24,216,188,160,28,13,3,10,4,2,2,3,0,3,6,1,5,0,0,0,4,0,4,0,0,0,2,0,2,2,0,2,0,0,0,9,3,6,4,2,2,1,0,1,4,1,3,0,0,0,882,390,492
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572164,0000,VILLAGE,Jogapuram,Rural,610,2494,1262,1232,270,138,132,307,147,160,6,3,3,1191,707,484,1303,555,748,1396,703,693,873,506,367,254,147,107,194,121,73,205,80,125,220,158,62,523,197,326,8,5,3,424,165,259,18,6,12,73,21,52,498,185,313,8,5,3,409,158,251,10,3,7,71,19,52,25,12,13,0,0,0,15,7,8,8,3,5,2,2,0,1098,559,539
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572165,0000,VILLAGE,Lingampeta,Rural,547,2068,1043,1025,177,94,83,544,266,278,0,0,0,1135,669,466,933,374,559,1115,585,530,557,397,160,251,202,49,138,103,35,98,36,62,70,56,14,558,188,370,165,68,97,216,88,128,141,14,127,36,18,18,475,156,319,144,60,84,175,69,106,126,12,114,30,15,15,83,32,51,21,8,13,41,19,22,15,2,13,6,3,3,953,458,495
14,92,Vemulawada,Rajanna Sircilla,02,Chandurthi,572166,0000,VILLAGE,Sangula,Rural,817,3406,1708,1698,312,169,143,456,223,233,638,326,312,1719,1035,684,1687,673,1014,1895,983,912,1201,802,399,568,381,187,236,146,90,4,2,2,393,273,120,694,181,513,60,11,49,427,134,293,23,5,18,184,31,153,555,134,421,56,9,47,325,95,230,8,4,4,166,26,140,139,47,92,4,2,2,102,39,63,15,1,14,18,5,13,1511,725,786
