DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
23,91,Chevella,Rangareddy,01,Shankarpalle,574042,0000,VILLAGE,Mahalingapuram,Rural,1697,7154,3644,3510,754,410,344,1635,850,785,11,6,5,3964,2368,1596,3190,1276,1914,3832,2085,1747,3562,2006,1556,2292,1308,984,825,418,407,146,48,98,299,232,67,270,79,191,34,9,25,191,45,146,0,0,0,45,25,20,268,77,191,33,8,25,190,44,146,0,0,0,45,25,20,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,3322,1559,1763
23,91,Chevella,Rangareddy,01,Shankarpalle,574043,0000,VILLAGE,Fathepur,Rural,340,1499,760,739,203,109,94,365,180,185,0,0,0,933,511,422,566,249,317,923,478,445,515,261,254,341,172,169,117,58,59,10,3,7,47,28,19,408,217,191,17,7,10,305,154,151,16,10,6,70,46,24,395,210,185,15,7,8,299,151,148,15,10,5,66,42,24,13,7,6,2,0,2,6,3,3,1,0,1,4,4,0,576,282,294
23,91,Chevella,Rangareddy,01,Shankarpalle,574044,0000,VILLAGE,Singapur,Rural,873,3602,1876,1726,381,228,153,617,321,296,6,3,3,2153,1262,891,1449,614,835,1664,1089,575,1305,879,426,455,283,172,405,215,190,37,33,4,408,348,60,359,210,149,30,7,23,212,114,98,41,33,8,76,56,20,348,205,143,29,6,23,205,112,93,40,32,8,74,55,19,11,5,6,1,1,0,7,2,5,1,1,0,2,1,1,1938,787,1151
23,91,Chevella,Rangareddy,01,Shankarpalle,574045,0000,VILLAGE,Shankarpalle,Rural,2780,12047,6097,5950,1636,850,786,1501,755,746,70,40,30,7578,4212,3366,4469,1885,2584,4329,3231,1098,3215,2525,690,410,327,83,357,212,145,138,101,37,2310,1885,425,1114,706,408,50,36,14,426,252,174,51,29,22,587,389,198,943,608,335,44,33,11,348,205,143,47,26,21,504,344,160,171,98,73,6,3,3,78,47,31,4,3,1,83,45,38,7718,2866,4852
23,91,Chevella,Rangareddy,01,Shankarpalle,574046,0000,VILLAGE,Ramanthapur,Rural,216,841,438,403,92,49,43,192,95,97,1,0,1,443,278,165,398,160,238,440,241,199,333,176,157,215,108,107,90,46,44,0,0,0,28,22,6,107,65,42,0,0,0,93,55,38,0,0,0,14,10,4,37,23,14,0,0,0,28,18,10,0,0,0,9,5,4,70,42,28,0,0,0,65,37,28,0,0,0,5,5,0,401,197,204
23,91,Chevella,Rangareddy,01,Shankarpalle,574047,0000,VILLAGE,Chandippa,Rural,331,1344,669,675,152,78,74,405,204,201,0,0,0,623,364,259,721,305,416,747,403,344,598,364,234,181,163,18,289,87,202,3,2,1,125,112,13,149,39,110,3,1,2,114,14,100,0,0,0,32,24,8,144,36,108,3,1,2,111,13,98,0,0,0,30,22,8,5,3,2,0,0,0,3,1,2,0,0,0,2,2,0,597,266,331
23,91,Chevella,Rangareddy,01,Shankarpalle,574048,0000,VILLAGE,Ravalpalle Kalan,Rural,479,2068,1054,1014,265,137,128,512,261,251,0,0,0,1034,621,413,1034,433,601,1222,637,585,1186,622,564,1115,576,539,14,8,6,0,0,0,57,38,19,36,15,21,3,1,2,32,13,19,0,0,0,1,1,0,36,15,21,3,1,2,32,13,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,417,429
23,91,Chevella,Rangareddy,01,Shankarpalle,574049,0000,VILLAGE,Sankepalle (Khalsa),Rural,251,1139,587,552,136,69,67,307,156,151,0,0,0,538,324,214,601,263,338,651,332,319,650,332,318,481,255,226,135,53,82,5,1,4,29,23,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,255,233
23,91,Chevella,Rangareddy,01,Shankarpalle,574051,0000,VILLAGE,Anthappaguda,Rural,238,1106,560,546,134,62,72,350,175,175,0,0,0,564,352,212,542,208,334,658,338,320,654,336,318,531,272,259,99,49,50,4,3,1,20,12,8,4,2,2,1,1,0,0,0,0,0,0,0,3,1,2,4,2,2,1,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,222,226
23,91,Chevella,Rangareddy,01,Shankarpalle,574052,0000,VILLAGE,Masaniguda,Rural,209,1007,510,497,101,44,57,322,170,152,0,0,0,583,344,239,424,166,258,571,318,253,571,318,253,161,92,69,359,184,175,1,1,0,50,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,192,244
23,91,Chevella,Rangareddy,01,Shankarpalle,574053,0000,VILLAGE,Hussainipur,Rural,47,188,97,91,30,16,14,33,14,19,0,0,0,72,43,29,116,54,62,90,58,32,89,58,31,83,56,27,3,1,2,0,0,0,3,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,39,59
23,91,Chevella,Rangareddy,01,Shankarpalle,574054,0000,VILLAGE,Kothapalle,Rural,425,1794,928,866,197,103,94,399,202,197,46,24,22,897,553,344,897,375,522,969,561,408,888,520,368,678,401,277,107,35,72,14,13,1,89,71,18,81,41,40,20,9,11,36,12,24,3,3,0,22,17,5,65,31,34,18,7,11,31,11,20,1,1,0,15,12,3,16,10,6,2,2,0,5,1,4,2,2,0,7,5,2,825,367,458
23,91,Chevella,Rangareddy,01,Shankarpalle,574055,0000,VILLAGE,Parveda (Chanchalam),Rural,175,745,364,381,92,44,48,374,182,192,7,5,2,361,206,155,384,158,226,397,199,198,291,148,143,186,93,93,81,39,42,0,0,0,24,16,8,106,51,55,0,0,0,99,45,54,0,0,0,7,6,1,106,51,55,0,0,0,99,45,54,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,165,183
23,91,Chevella,Rangareddy,01,Shankarpalle,574056,0000,VILLAGE,Yervaguda,Rural,234,965,505,460,100,54,46,57,31,26,33,16,17,528,316,212,437,189,248,510,269,241,503,268,235,332,185,147,100,30,70,6,4,2,65,49,16,7,1,6,2,0,2,5,1,4,0,0,0,0,0,0,7,1,6,2,0,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,236,219
23,91,Chevella,Rangareddy,01,Shankarpalle,574057,0000,VILLAGE,Parveda Khalsa,Rural,514,2015,990,1025,220,98,122,103,51,52,13,7,6,1131,670,461,884,320,564,1078,560,518,861,454,407,590,297,293,181,85,96,0,0,0,90,72,18,217,106,111,28,12,16,153,63,90,0,0,0,36,31,5,210,100,110,28,12,16,149,60,89,0,0,0,33,28,5,7,6,1,0,0,0,4,3,1,0,0,0,3,3,0,937,430,507
23,91,Chevella,Rangareddy,01,Shankarpalle,574058,0000,VILLAGE,Yelwarthy,Rural,506,2171,1145,1026,254,134,120,674,354,320,15,10,5,1208,754,454,963,391,572,1172,672,500,437,291,146,300,186,114,38,20,18,10,9,1,89,76,13,735,381,354,26,11,15,648,324,324,0,0,0,61,46,15,648,336,312,26,11,15,573,285,288,0,0,0,49,40,9,87,45,42,0,0,0,75,39,36,0,0,0,12,6,6,999,473,526
