DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
18,92,Husnabad,Siddipet,04,Bejjanki,572488,0000,VILLAGE,Gundaram(P_S_),Rural,761,2899,1478,1421,250,143,107,748,379,369,33,14,19,1643,966,677,1256,512,744,1646,889,757,1587,862,725,460,252,208,891,438,453,50,27,23,186,145,41,59,27,32,3,1,2,41,17,24,3,1,2,12,8,4,56,26,30,3,1,2,38,16,22,3,1,2,12,8,4,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,1253,589,664
18,92,Husnabad,Siddipet,04,Bejjanki,572499,0000,VILLAGE,Vadlur-Begumpet,Rural,1176,4537,2193,2344,339,175,164,1249,599,650,54,27,27,2514,1374,1140,2023,819,1204,2650,1384,1266,2072,1107,965,515,285,230,1272,599,673,12,9,3,273,214,59,578,277,301,17,7,10,543,258,285,1,1,0,17,11,6,576,275,301,17,7,10,543,258,285,1,1,0,15,9,6,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1887,809,1078
18,92,Husnabad,Siddipet,04,Bejjanki,572502,0000,VILLAGE,Veerapur,Rural,222,864,415,449,55,32,23,242,111,131,11,4,7,527,283,244,337,132,205,498,251,247,247,131,116,150,84,66,59,17,42,0,0,0,38,30,8,251,120,131,10,2,8,216,96,120,12,12,0,13,10,3,248,119,129,10,2,8,216,96,120,12,12,0,10,9,1,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,366,164,202
18,92,Husnabad,Siddipet,04,Bejjanki,572503,0000,VILLAGE,Bejjanki,Rural,1835,7804,4024,3780,664,357,307,1653,848,805,85,45,40,4840,2884,1956,2964,1140,1824,3702,2042,1660,3468,1962,1506,773,454,319,1698,805,893,140,74,66,857,629,228,234,80,154,19,7,12,143,43,100,13,6,7,59,24,35,223,75,148,17,6,11,138,40,98,9,5,4,59,24,35,11,5,6,2,1,1,5,3,2,4,1,3,0,0,0,4102,1982,2120
18,92,Husnabad,Siddipet,04,Bejjanki,572504,0000,VILLAGE,Kallepalle,Rural,959,3718,1805,1913,263,120,143,1025,505,520,33,15,18,2233,1284,949,1485,521,964,1934,1025,909,1703,915,788,453,335,118,913,334,579,65,31,34,272,215,57,231,110,121,7,5,2,170,68,102,7,4,3,47,33,14,84,39,45,6,4,2,48,20,28,6,3,3,24,12,12,147,71,76,1,1,0,122,48,74,1,1,0,23,21,2,1784,780,1004
18,92,Husnabad,Siddipet,04,Bejjanki,572505,0000,VILLAGE,Cheelapur,Rural,313,1293,650,643,89,46,43,288,149,139,14,5,9,757,457,300,536,193,343,695,367,328,668,356,312,102,48,54,362,172,190,9,4,5,195,132,63,27,11,16,3,1,2,12,4,8,2,1,1,10,5,5,25,10,15,3,1,2,11,3,8,2,1,1,9,5,4,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,598,283,315
18,92,Husnabad,Siddipet,04,Bejjanki,572506,0000,VILLAGE,Regulapalle,Rural,526,2260,1098,1162,199,100,99,379,173,206,17,8,9,1231,693,538,1029,405,624,1193,600,593,1176,590,586,414,253,161,574,191,383,45,31,14,143,115,28,17,10,7,12,8,4,3,1,2,0,0,0,2,1,1,16,9,7,12,8,4,3,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1067,498,569
18,92,Husnabad,Siddipet,04,Bejjanki,572507,0000,VILLAGE,Potharam,Rural,139,533,266,267,43,23,20,348,170,178,0,0,0,289,167,122,244,99,145,321,162,159,280,140,140,6,4,2,243,115,128,7,2,5,24,19,5,41,22,19,0,0,0,10,7,3,30,14,16,1,1,0,13,9,4,0,0,0,10,7,3,2,1,1,1,1,0,28,13,15,0,0,0,0,0,0,28,13,15,0,0,0,212,104,108
18,92,Husnabad,Siddipet,04,Bejjanki,572508,0000,VILLAGE,Muthannapet,Rural,320,1246,616,630,111,54,57,463,239,224,10,5,5,721,408,313,525,208,317,754,381,373,541,330,211,198,135,63,246,119,127,10,8,2,87,68,19,213,51,162,5,2,3,191,35,156,1,0,1,16,14,2,175,36,139,3,1,2,160,24,136,1,0,1,11,11,0,38,15,23,2,1,1,31,11,20,0,0,0,5,3,2,492,235,257
18,92,Husnabad,Siddipet,04,Bejjanki,572509,0000,VILLAGE,Guggilla,Rural,570,2375,1176,1199,197,95,102,590,287,303,25,11,14,1365,819,546,1010,357,653,1293,697,596,1180,640,540,433,239,194,538,235,303,13,12,1,196,154,42,113,57,56,7,5,2,61,20,41,6,4,2,39,28,11,107,55,52,6,4,2,57,20,37,5,3,2,39,28,11,6,2,4,1,1,0,4,0,4,1,1,0,0,0,0,1082,479,603
18,92,Husnabad,Siddipet,04,Bejjanki,572510,0000,VILLAGE,Gagillapur,Rural,468,1799,914,885,147,77,70,479,246,233,26,16,10,1022,626,396,777,288,489,1013,541,472,801,514,287,119,84,35,520,292,228,33,27,6,129,111,18,212,27,185,42,2,40,160,20,140,1,0,1,9,5,4,204,24,180,42,2,40,152,17,135,1,0,1,9,5,4,8,3,5,0,0,0,8,3,5,0,0,0,0,0,0,786,373,413
18,92,Husnabad,Siddipet,04,Bejjanki,572511,0000,VILLAGE,Dacharam,Rural,593,2368,1166,1202,200,107,93,442,230,212,11,5,6,1301,745,556,1067,421,646,1318,738,580,1297,731,566,210,136,74,889,431,458,19,15,4,179,149,30,21,7,14,6,2,4,11,4,7,0,0,0,4,1,3,19,6,13,6,2,4,10,4,6,0,0,0,3,0,3,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1050,428,622
18,92,Husnabad,Siddipet,04,Bejjanki,572512,0000,VILLAGE,Thotapalle,Rural,671,2447,1184,1263,163,84,79,811,391,420,31,19,12,1370,781,589,1077,403,674,1300,689,611,953,641,312,264,207,57,471,257,214,19,15,4,199,162,37,347,48,299,5,2,3,332,43,289,2,0,2,8,3,5,321,40,281,2,0,2,311,37,274,0,0,0,8,3,5,26,8,18,3,2,1,21,6,15,2,0,2,0,0,0,1147,495,652
18,92,Husnabad,Siddipet,04,Bejjanki,572513,0000,VILLAGE,Devakkapalle,Rural,239,921,449,472,53,28,25,228,108,120,8,5,3,550,313,237,371,136,235,510,255,255,485,254,231,111,82,29,320,137,183,1,1,0,53,34,19,25,1,24,16,1,15,8,0,8,0,0,0,1,0,1,25,1,24,16,1,15,8,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,194,217
