DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
30,91,Suryapet,Suryapet,02,Thirumalagiri,576566,0000,VILLAGE,Thatipamula,Rural,839,3360,1703,1657,363,191,172,1186,608,578,142,73,69,1457,865,592,1903,838,1065,1952,990,962,1901,972,929,328,283,45,1446,592,854,5,5,0,122,92,30,51,18,33,5,3,2,26,7,19,2,1,1,18,7,11,45,15,30,3,2,1,26,7,19,2,1,1,14,5,9,6,3,3,2,1,1,0,0,0,0,0,0,4,2,2,1408,713,695
30,91,Suryapet,Suryapet,02,Thirumalagiri,576567,0000,VILLAGE,Nandapuram,Rural,322,1377,718,659,139,70,69,171,92,79,535,281,254,659,403,256,718,315,403,726,376,350,676,353,323,107,87,20,484,187,297,0,0,0,85,79,6,50,23,27,3,2,1,46,20,26,1,1,0,0,0,0,30,10,20,1,0,1,28,9,19,1,1,0,0,0,0,20,13,7,2,2,0,18,11,7,0,0,0,0,0,0,651,342,309
30,91,Suryapet,Suryapet,02,Thirumalagiri,576568,0000,VILLAGE,Thirumalagiri,Rural,3256,12899,6540,6359,1356,681,675,2349,1186,1163,987,518,469,8190,4678,3512,4709,1862,2847,5861,3502,2359,4789,3137,1652,691,451,240,1505,606,899,123,94,29,2470,1986,484,1072,365,707,36,12,24,676,173,503,48,15,33,312,165,147,1000,343,657,36,12,24,632,161,471,41,12,29,291,158,133,72,22,50,0,0,0,44,12,32,7,3,4,21,7,14,7038,3038,4000
30,91,Suryapet,Suryapet,02,Thirumalagiri,576569,0000,VILLAGE,Thonda,Rural,971,3856,1963,1893,374,197,177,803,408,395,35,21,14,1898,1142,756,1958,821,1137,2046,1032,1014,1932,1001,931,501,354,147,1191,467,724,16,14,2,224,166,58,114,31,83,2,1,1,100,23,77,0,0,0,12,7,5,93,26,67,1,0,1,85,21,64,0,0,0,7,5,2,21,5,16,1,1,0,15,2,13,0,0,0,5,2,3,1810,931,879
30,91,Suryapet,Suryapet,02,Thirumalagiri,576570,0000,VILLAGE,Velchala,Rural,919,3797,1916,1881,384,205,179,257,116,141,1189,608,581,1863,1112,751,1934,804,1130,2041,1036,1005,1746,943,803,829,468,361,635,268,367,39,25,14,243,182,61,295,93,202,9,3,6,259,71,188,12,7,5,15,12,3,273,83,190,8,2,6,240,64,176,12,7,5,13,10,3,22,10,12,1,1,0,19,7,12,0,0,0,2,2,0,1756,880,876
30,91,Suryapet,Suryapet,02,Thirumalagiri,576571,0000,VILLAGE,Mamidiyala,Rural,514,2226,1157,1069,254,128,126,265,138,127,941,500,441,1087,691,396,1139,466,673,1191,627,564,1139,603,536,436,255,181,549,224,325,10,9,1,144,115,29,52,24,28,11,5,6,24,9,15,1,0,1,16,10,6,37,16,21,1,0,1,20,6,14,0,0,0,16,10,6,15,8,7,10,5,5,4,3,1,1,0,1,0,0,0,1035,530,505
30,91,Suryapet,Suryapet,02,Thirumalagiri,576572,0000,VILLAGE,BandlaPalle,Rural,261,1023,512,511,108,51,57,70,34,36,204,105,99,495,293,202,528,219,309,507,288,219,433,286,147,247,164,83,113,64,49,0,0,0,73,58,15,74,2,72,2,0,2,68,2,66,0,0,0,4,0,4,74,2,72,2,0,2,68,2,66,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,224,292
30,91,Suryapet,Suryapet,02,Thirumalagiri,576573,0000,VILLAGE,Malipuram,Rural,700,2771,1411,1360,276,142,134,666,343,323,85,45,40,1658,985,673,1113,426,687,1260,729,531,1229,717,512,243,171,72,552,195,357,42,30,12,392,321,71,31,12,19,0,0,0,22,6,16,1,0,1,8,6,2,27,10,17,0,0,0,20,5,15,1,0,1,6,5,1,4,2,2,0,0,0,2,1,1,0,0,0,2,1,1,1511,682,829
30,91,Suryapet,Suryapet,02,Thirumalagiri,576574,0000,VILLAGE,Anantharam,Rural,338,1427,704,723,154,66,88,485,237,248,0,0,0,753,444,309,674,260,414,785,379,406,474,298,176,272,246,26,196,48,148,0,0,0,6,4,2,311,81,230,3,2,1,264,41,223,0,0,0,44,38,6,280,55,225,3,2,1,262,41,221,0,0,0,15,12,3,31,26,5,0,0,0,2,0,2,0,0,0,29,26,3,642,325,317
30,91,Suryapet,Suryapet,01,Nagaram,576575,0000,VILLAGE,Etoor,Rural,797,3131,1591,1540,326,182,144,1011,535,476,21,10,11,1589,954,635,1542,637,905,1615,807,808,1363,718,645,317,217,100,871,364,507,24,13,11,151,124,27,252,89,163,17,1,16,170,52,118,11,1,10,54,35,19,241,85,156,16,1,15,163,49,114,10,1,9,52,34,18,11,4,7,1,0,1,7,3,4,1,0,1,2,1,1,1516,784,732
30,91,Suryapet,Suryapet,01,Nagaram,576576,0000,VILLAGE,Phanigiri,Rural,1042,4084,2016,2068,357,179,178,1173,583,590,81,42,39,2318,1345,973,1766,671,1095,2114,1088,1026,1748,1014,734,410,354,56,978,385,593,40,32,8,320,243,77,366,74,292,3,0,3,341,64,277,1,0,1,21,10,11,352,68,284,2,0,2,329,59,270,1,0,1,20,9,11,14,6,8,1,0,1,12,5,7,0,0,0,1,1,0,1970,928,1042
