DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
24,91,Vikarabad,Vikarabad,01,Marpalle,573969,0000,VILLAGE,Jamshedapur,Rural,154,639,330,309,85,42,43,95,47,48,0,0,0,341,210,131,298,120,178,330,190,140,132,113,19,46,45,1,31,15,16,1,1,0,54,52,2,198,77,121,26,5,21,158,63,95,3,1,2,11,8,3,198,77,121,26,5,21,158,63,95,3,1,2,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,140,169
24,91,Vikarabad,Vikarabad,01,Marpalle,573970,0000,VILLAGE,Ghanpur,Rural,263,1357,687,670,175,81,94,467,245,222,2,1,1,691,395,296,666,292,374,809,437,372,476,257,219,358,176,182,48,25,23,0,0,0,70,56,14,333,180,153,3,2,1,315,166,149,4,3,1,11,9,2,313,171,142,3,2,1,298,159,139,3,2,1,9,8,1,20,9,11,0,0,0,17,7,10,1,1,0,2,1,1,548,250,298
24,91,Vikarabad,Vikarabad,01,Marpalle,573971,0000,VILLAGE,Mogiligundla,Rural,219,1040,532,508,123,61,62,251,127,124,19,7,12,568,333,235,472,199,273,602,314,288,362,256,106,107,103,4,201,105,96,6,6,0,48,42,6,240,58,182,8,8,0,207,39,168,8,1,7,17,10,7,233,58,175,8,8,0,201,39,162,8,1,7,16,10,6,7,0,7,0,0,0,6,0,6,0,0,0,1,0,1,438,218,220
24,91,Vikarabad,Vikarabad,01,Marpalle,573972,0000,VILLAGE,Komshetpalle,Rural,482,2241,1154,1087,267,138,129,360,182,178,0,0,0,1172,692,480,1069,462,607,1006,646,360,818,560,258,174,130,44,371,182,189,4,4,0,269,244,25,188,86,102,13,3,10,165,78,87,1,0,1,9,5,4,169,81,88,10,3,7,152,74,78,1,0,1,6,4,2,19,5,14,3,0,3,13,4,9,0,0,0,3,1,2,1235,508,727
24,91,Vikarabad,Vikarabad,01,Marpalle,573973,0000,VILLAGE,Bilkal,Rural,265,1284,642,642,172,84,88,313,150,163,0,0,0,708,418,290,576,224,352,693,360,333,681,356,325,109,70,39,497,231,266,2,0,2,73,55,18,12,4,8,1,0,1,10,3,7,0,0,0,1,1,0,12,4,8,1,0,1,10,3,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,282,309
24,91,Vikarabad,Vikarabad,01,Marpalle,573974,0000,VILLAGE,Mallikarjungiri,Rural,116,478,253,225,51,33,18,264,134,130,0,0,0,253,150,103,225,103,122,272,154,118,209,124,85,50,30,20,113,54,59,4,4,0,42,36,6,63,30,33,3,1,2,56,26,30,0,0,0,4,3,1,63,30,33,3,1,2,56,26,30,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,99,107
24,91,Vikarabad,Vikarabad,01,Marpalle,573975,0000,VILLAGE,Pilligundla,Rural,190,876,449,427,110,60,50,155,83,72,0,0,0,477,297,180,399,152,247,407,241,166,391,233,158,136,133,3,216,64,152,0,0,0,39,36,3,16,8,8,4,3,1,11,5,6,0,0,0,1,0,1,16,8,8,4,3,1,11,5,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,208,261
24,91,Vikarabad,Vikarabad,01,Marpalle,573976,0000,VILLAGE,Gundlamarpalle,Rural,162,785,391,394,115,58,57,249,115,134,0,0,0,387,231,156,398,160,238,444,233,211,430,229,201,84,69,15,329,149,180,3,3,0,14,8,6,14,4,10,1,0,1,11,3,8,0,0,0,2,1,1,14,4,10,1,0,1,11,3,8,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,158,183
24,91,Vikarabad,Vikarabad,01,Marpalle,573977,0000,VILLAGE,Narsapur,Rural,383,1553,797,756,233,119,114,311,151,160,654,335,319,656,410,246,897,387,510,896,460,436,871,452,419,484,252,232,317,140,177,1,1,0,69,59,10,25,8,17,11,4,7,9,3,6,0,0,0,5,1,4,24,7,17,10,3,7,9,3,6,0,0,0,5,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,657,337,320
24,91,Vikarabad,Vikarabad,01,Marpalle,573978,0000,VILLAGE,Thummalapalle,Rural,331,1426,722,704,147,79,68,511,251,260,0,0,0,617,362,255,809,360,449,875,474,401,620,347,273,551,295,256,18,11,7,1,0,1,50,41,9,255,127,128,25,12,13,208,98,110,1,1,0,21,16,5,241,118,123,25,12,13,195,90,105,1,1,0,20,15,5,14,9,5,0,0,0,13,8,5,0,0,0,1,1,0,551,248,303
24,91,Vikarabad,Vikarabad,01,Marpalle,573979,0000,VILLAGE,Dargulpalle,Rural,121,471,241,230,85,44,41,153,78,75,0,0,0,171,106,65,300,135,165,270,140,130,264,135,129,0,0,0,263,135,128,0,0,0,1,0,1,6,5,1,0,0,0,1,1,0,0,0,0,5,4,1,6,5,1,0,0,0,1,1,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,101,100
24,91,Vikarabad,Vikarabad,01,Marpalle,573980,0000,VILLAGE,Patloor,Rural,1125,5565,2801,2764,721,341,380,1115,539,576,310,149,161,2868,1653,1215,2697,1148,1549,2661,1483,1178,1983,1134,849,721,456,265,1004,482,522,39,19,20,219,177,42,678,349,329,140,84,56,442,199,243,10,5,5,86,61,25,657,342,315,137,82,55,429,197,232,9,4,5,82,59,23,21,7,14,3,2,1,13,2,11,1,1,0,4,2,2,2904,1318,1586
