DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575769,0000,VILLAGE,Anthaipalle,Rural,85,350,180,170,33,19,14,0,0,0,0,0,0,183,114,69,167,66,101,185,112,73,185,112,73,26,18,8,78,20,58,0,0,0,81,74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,68,97
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575770,0000,VILLAGE,Kamaluddinpur,Rural,442,2255,1132,1123,329,179,150,312,160,152,27,13,14,819,509,310,1436,623,813,1321,665,656,977,518,459,179,153,26,442,177,265,3,3,0,353,185,168,344,147,197,14,8,6,286,122,164,3,2,1,41,15,26,344,147,197,14,8,6,286,122,164,3,2,1,41,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,467,467
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575771,0000,VILLAGE,Thirumalaipalle,Rural,355,1886,955,931,351,197,154,443,229,214,974,491,483,688,422,266,1198,533,665,947,490,457,934,484,450,190,126,64,446,172,274,2,0,2,296,186,110,13,6,7,0,0,0,7,3,4,2,1,1,4,2,2,7,3,4,0,0,0,5,2,3,1,0,1,1,1,0,6,3,3,0,0,0,2,1,1,1,1,0,3,1,2,939,465,474
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575772,0000,VILLAGE,Almaipalle,Rural,206,1103,553,550,154,74,80,351,171,180,460,239,221,421,259,162,682,294,388,519,281,238,475,271,204,74,61,13,171,64,107,0,0,0,230,146,84,44,10,34,2,1,1,36,8,28,1,0,1,5,1,4,31,6,25,2,1,1,25,5,20,1,0,1,3,0,3,13,4,9,0,0,0,11,3,8,0,0,0,2,1,1,584,272,312
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575773,0000,VILLAGE,Malkimianpalle,Rural,179,965,492,473,134,67,67,107,59,48,458,234,224,435,271,164,530,221,309,560,283,277,536,278,258,165,104,61,167,50,117,1,0,1,203,124,79,24,5,19,3,1,2,13,1,12,0,0,0,8,3,5,20,4,16,3,1,2,12,1,11,0,0,0,5,2,3,4,1,3,0,0,0,1,0,1,0,0,0,3,1,2,405,209,196
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575774,0000,VILLAGE,Venkatampalle,Rural,367,1611,854,757,232,127,105,324,164,160,0,0,0,770,483,287,841,371,470,782,460,322,593,399,194,67,43,24,36,13,23,1,1,0,489,342,147,189,61,128,2,2,0,12,4,8,0,0,0,175,55,120,188,61,127,2,2,0,12,4,8,0,0,0,174,55,119,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,829,394,435
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575775,0000,VILLAGE,Agaram,Rural,214,978,496,482,157,81,76,217,112,105,7,4,3,436,268,168,542,228,314,515,270,245,191,143,48,33,31,2,53,23,30,28,26,2,77,63,14,324,127,197,0,0,0,306,111,195,4,4,0,14,12,2,324,127,197,0,0,0,306,111,195,4,4,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,226,237
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575777,0000,VILLAGE,Ghanpur,Rural,1635,7742,3995,3747,883,475,408,1084,588,496,356,228,128,4261,2556,1705,3481,1439,2042,3445,2005,1440,2780,1714,1066,519,298,221,1112,502,610,121,79,42,1028,835,193,665,291,374,11,7,4,436,151,285,32,9,23,186,124,62,624,284,340,11,7,4,410,149,261,31,9,22,172,119,53,41,7,34,0,0,0,26,2,24,1,0,1,14,5,9,4297,1990,2307
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575779,0000,VILLAGE,Appareddipalle,Rural,396,1973,1025,948,278,154,124,199,99,100,15,7,8,742,460,282,1231,565,666,1102,590,512,1075,572,503,230,158,72,615,229,386,15,11,4,215,174,41,27,18,9,5,4,1,15,11,4,2,1,1,5,2,3,24,17,7,4,4,0,14,11,3,2,1,1,4,1,3,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0,871,435,436
27,91,Wanaparthy,Wanaparthy,04,Ghanpur,575780,0000,VILLAGE,Salkapuram,Rural,407,1963,998,965,283,148,135,216,100,116,169,93,76,734,445,289,1229,553,676,1081,566,515,1010,534,476,559,304,255,375,181,194,6,3,3,70,46,24,71,32,39,27,14,13,34,11,23,2,1,1,8,6,2,68,30,38,25,13,12,33,10,23,2,1,1,8,6,2,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,882,432,450
