DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
11,92,Narsampet,Warangal,07,Nallabelly,578086,0000,VILLAGE,Nandigama,Rural,635,2256,1158,1098,225,119,106,300,165,135,497,252,245,1020,614,406,1236,544,692,1256,616,640,1058,531,527,337,173,164,643,304,339,2,1,1,76,53,23,198,85,113,5,2,3,173,71,102,5,3,2,15,9,6,107,47,60,3,2,1,86,34,52,4,3,1,14,8,6,91,38,53,2,0,2,87,37,50,1,0,1,1,1,0,1000,542,458
11,92,Narsampet,Warangal,07,Nallabelly,578087,0000,VILLAGE,Relakunta,Rural,544,1846,911,935,183,100,83,202,98,104,320,160,160,916,536,380,930,375,555,1103,534,569,961,528,433,290,164,126,623,327,296,17,15,2,31,22,9,142,6,136,1,0,1,138,5,133,1,1,0,2,0,2,142,6,136,1,0,1,138,5,133,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,377,366
11,92,Narsampet,Warangal,07,Nallabelly,578088,0000,VILLAGE,Rangapuram,Rural,548,2113,1085,1028,192,109,83,204,113,91,26,11,15,1202,714,488,911,371,540,1171,587,584,1018,516,502,355,197,158,494,188,306,24,20,4,145,111,34,153,71,82,11,8,3,129,55,74,2,1,1,11,7,4,114,49,65,6,4,2,95,37,58,2,1,1,11,7,4,39,22,17,5,4,1,34,18,16,0,0,0,0,0,0,942,498,444
11,92,Narsampet,Warangal,07,Nallabelly,578089,0000,VILLAGE,Arshanpalli,Rural,404,1550,770,780,142,76,66,240,121,119,4,2,2,854,497,357,696,273,423,832,429,403,800,412,388,126,103,23,571,217,354,3,3,0,100,89,11,32,17,15,1,0,1,18,9,9,1,0,1,12,8,4,14,8,6,1,0,1,7,3,4,0,0,0,6,5,1,18,9,9,0,0,0,11,6,5,1,0,1,6,3,3,718,341,377
11,92,Narsampet,Warangal,07,Nallabelly,578090,0000,VILLAGE,Kannaraopet,Rural,274,1091,555,536,107,55,52,57,32,25,612,315,297,564,344,220,527,211,316,644,305,339,640,304,336,215,161,54,373,105,268,14,13,1,38,25,13,4,1,3,2,0,2,1,0,1,0,0,0,1,1,0,3,1,2,2,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,447,250,197
11,92,Narsampet,Warangal,07,Nallabelly,578091,0000,VILLAGE,Govindapuram,Rural,672,2768,1170,1598,329,169,160,61,25,36,1891,765,1126,1272,564,708,1496,606,890,1422,724,698,1180,694,486,277,193,84,794,409,385,4,4,0,105,88,17,242,30,212,71,3,68,157,23,134,1,1,0,13,3,10,238,28,210,71,3,68,153,21,132,1,1,0,13,3,10,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,1346,446,900
11,92,Narsampet,Warangal,07,Nallabelly,578092,0000,VILLAGE,Kondapur,Rural,194,695,366,329,72,35,37,63,33,30,219,114,105,335,206,129,360,160,200,447,234,213,446,233,213,209,109,100,235,124,111,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,132,116
11,92,Narsampet,Warangal,07,Nallabelly,578093,0000,VILLAGE,Ramapuram,Rural,362,1174,571,603,89,43,46,205,102,103,145,65,80,627,370,257,547,201,346,747,372,375,647,326,321,368,195,173,245,107,138,7,4,3,27,20,7,100,46,54,2,1,1,84,35,49,5,3,2,9,7,2,97,45,52,2,1,1,82,34,48,5,3,2,8,7,1,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,427,199,228
11,92,Narsampet,Warangal,07,Nallabelly,578094,0000,VILLAGE,Nagarajpalle,Rural,329,1094,566,528,100,57,43,39,23,16,98,51,47,550,334,216,544,232,312,641,332,309,479,291,188,181,163,18,203,39,164,7,5,2,88,84,4,162,41,121,5,0,5,154,41,113,3,0,3,0,0,0,161,41,120,5,0,5,153,41,112,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,453,234,219
11,92,Narsampet,Warangal,07,Nallabelly,578095,0000,VILLAGE,Shanigaram,Rural,539,1838,936,902,157,87,70,135,68,67,25,14,11,1017,601,416,821,335,486,1036,503,533,1015,495,520,404,254,150,495,146,349,14,10,4,102,85,17,21,8,13,5,4,1,12,1,11,3,2,1,1,1,0,14,5,9,2,2,0,10,1,9,2,2,0,0,0,0,7,3,4,3,2,1,2,0,2,1,0,1,1,1,0,802,433,369
11,92,Narsampet,Warangal,07,Nallabelly,578096,0000,VILLAGE,Ramtheertham,Rural,354,1411,710,701,123,60,63,196,103,93,571,281,290,799,489,310,612,221,391,775,372,403,744,361,383,183,100,83,456,175,281,14,7,7,91,79,12,31,11,20,6,4,2,20,6,14,2,0,2,3,1,2,24,9,15,5,3,2,15,5,10,1,0,1,3,1,2,7,2,5,1,1,0,5,1,4,1,0,1,0,0,0,636,338,298
11,92,Narsampet,Warangal,07,Nallabelly,578097,0000,VILLAGE,Muchimpula,Rural,499,1798,887,911,158,86,72,291,140,151,346,177,169,941,543,398,857,344,513,888,440,448,464,285,179,335,178,157,37,22,15,11,9,2,81,76,5,424,155,269,93,72,21,279,65,214,36,12,24,16,6,10,222,85,137,43,36,7,158,37,121,13,9,4,8,3,5,202,70,132,50,36,14,121,28,93,23,3,20,8,3,5,910,447,463
11,92,Narsampet,Warangal,07,Nallabelly,578098,0000,VILLAGE,Lenkalpalle,Rural,469,1837,934,903,146,83,63,144,76,68,0,0,0,949,565,384,888,369,519,1013,503,510,754,429,325,248,169,79,373,159,214,26,15,11,107,86,21,259,74,185,5,2,3,240,61,179,4,4,0,10,7,3,251,73,178,5,2,3,234,60,174,4,4,0,8,7,1,8,1,7,0,0,0,6,1,5,0,0,0,2,0,2,824,431,393
11,92,Narsampet,Warangal,07,Nallabelly,578099,0000,VILLAGE,Nallabelly,Rural,1334,5205,2613,2592,410,197,213,993,477,516,132,71,61,3400,1988,1412,1805,625,1180,2433,1258,1175,1996,1118,878,459,275,184,1076,457,619,48,37,11,413,349,64,437,140,297,12,10,2,369,100,269,13,8,5,43,22,21,412,133,279,12,10,2,350,97,253,12,7,5,38,19,19,25,7,18,0,0,0,19,3,16,1,1,0,5,3,2,2772,1355,1417
11,92,Narsampet,Warangal,07,Nallabelly,578100,0000,VILLAGE,Narakkapeta,Rural,780,2809,1431,1378,213,126,87,516,259,257,62,32,30,1447,888,559,1362,543,819,1603,787,816,1211,609,602,469,275,194,555,180,375,34,28,6,153,126,27,392,178,214,49,28,21,321,138,183,5,3,2,17,9,8,352,155,197,26,12,14,306,131,175,5,3,2,15,9,6,40,23,17,23,16,7,15,7,8,0,0,0,2,0,2,1206,644,562
11,92,Narsampet,Warangal,07,Nallabelly,578101,0000,VILLAGE,Rudragudem,Rural,672,2918,1678,1240,199,105,94,224,121,103,486,304,182,1814,1261,553,1104,417,687,1605,867,738,1265,621,644,593,285,308,487,189,298,5,5,0,180,142,38,340,246,94,254,222,32,73,17,56,3,2,1,10,5,5,72,18,54,3,2,1,59,11,48,2,2,0,8,3,5,268,228,40,251,220,31,14,6,8,1,0,1,2,2,0,1313,811,502
11,92,Narsampet,Warangal,07,Nallabelly,578102,0000,VILLAGE,Gundlapahad,Rural,531,1919,950,969,158,76,82,113,55,58,710,360,350,983,581,402,936,369,567,991,538,453,751,469,282,408,249,159,222,117,105,3,2,1,118,101,17,240,69,171,47,5,42,179,52,127,0,0,0,14,12,2,240,69,171,47,5,42,179,52,127,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,412,516
