DISTRICT_CODE,DIVISION_CODE,DIVISION_NAME,Name_District,Mandal_Code,Name_Mandal,Village_Code,Ward,Level1,VName,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576452,0000,VILLAGE,Thimma Puram,Rural,399,1647,850,797,206,107,99,139,65,74,381,195,186,814,484,330,833,366,467,955,488,467,320,253,67,137,130,7,80,41,39,8,6,2,95,76,19,635,235,400,34,21,13,552,198,354,3,1,2,46,15,31,632,234,398,34,21,13,550,197,353,2,1,1,46,15,31,3,1,2,0,0,0,2,1,1,1,0,1,0,0,0,692,362,330
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576453,0000,VILLAGE,Boinpalle,Rural,133,584,289,295,108,53,55,30,18,12,487,241,246,224,139,85,360,150,210,299,154,145,215,128,87,45,43,2,58,5,53,1,0,1,111,80,31,84,26,58,6,3,3,23,1,22,0,0,0,55,22,33,82,26,56,6,3,3,22,1,21,0,0,0,54,22,32,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,285,135,150
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576454,0000,VILLAGE,Somajipalle,Rural,38,166,84,82,20,9,11,0,0,0,165,84,81,59,35,24,107,49,58,89,43,46,89,43,46,0,0,0,88,43,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,41,36
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576455,0000,VILLAGE,Muneerabad,Rural,104,414,198,216,60,35,25,69,30,39,50,27,23,199,109,90,215,89,126,240,123,117,239,123,116,139,74,65,96,46,50,0,0,0,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,75,99
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576456,0000,VILLAGE,Bandakadi Palle,Rural,104,383,177,206,36,13,23,55,27,28,5,2,3,234,129,105,149,48,101,211,122,89,159,110,49,45,33,12,32,17,15,22,16,6,60,44,16,52,12,40,3,0,3,29,1,28,10,7,3,10,4,6,46,12,34,3,0,3,26,1,25,9,7,2,8,4,4,6,0,6,0,0,0,3,0,3,1,0,1,2,0,2,172,55,117
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576457,0000,VILLAGE,Thumakunta,Rural,295,1166,580,586,148,72,76,444,222,222,13,6,7,581,335,246,585,245,340,579,346,233,555,333,222,56,41,15,199,48,151,2,2,0,298,242,56,24,13,11,1,1,0,14,5,9,0,0,0,9,7,2,16,9,7,1,1,0,9,4,5,0,0,0,6,4,2,8,4,4,0,0,0,5,1,4,0,0,0,3,3,0,587,234,353
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576458,0000,VILLAGE,Jalalpur,Rural,448,1690,840,850,180,103,77,509,255,254,22,10,12,982,569,413,708,271,437,914,523,391,709,464,245,101,74,27,204,110,94,149,59,90,255,221,34,205,59,146,9,4,5,148,32,116,15,2,13,33,21,12,166,44,122,9,4,5,122,24,98,11,1,10,24,15,9,39,15,24,0,0,0,26,8,18,4,1,3,9,6,3,776,317,459
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576459,0000,VILLAGE,Pyararam,Rural,380,1496,766,730,153,85,68,196,108,88,302,163,139,728,428,300,768,338,430,904,468,436,876,461,415,176,97,79,571,288,283,6,2,4,123,74,49,28,7,21,7,1,6,20,6,14,0,0,0,1,0,1,28,7,21,7,1,6,20,6,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,298,294
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576460,0000,VILLAGE,Solipeta,Rural,247,1000,492,508,92,44,48,181,92,89,173,88,85,488,299,189,512,193,319,473,259,214,201,141,60,42,37,5,93,45,48,2,2,0,64,57,7,272,118,154,12,9,3,178,68,110,6,2,4,76,39,37,249,110,139,11,8,3,157,62,95,6,2,4,75,38,37,23,8,15,1,1,0,21,6,15,0,0,0,1,1,0,527,233,294
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576461,0000,VILLAGE,Cheekati Mamidi,Rural,1290,5777,2943,2834,834,422,412,274,134,140,3161,1642,1519,2460,1524,936,3317,1419,1898,3182,1656,1526,2280,1373,907,274,253,21,934,397,537,14,6,8,1058,717,341,902,283,619,42,17,25,715,203,512,7,0,7,138,63,75,482,144,338,36,15,21,312,72,240,7,0,7,127,57,70,420,139,281,6,2,4,403,131,272,0,0,0,11,6,5,2595,1287,1308
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576462,0000,VILLAGE,Maryala,Rural,1652,7129,3646,3483,868,461,407,892,458,434,2944,1515,1429,3578,2153,1425,3551,1493,2058,3926,2103,1823,3304,1955,1349,1036,721,315,1353,554,799,53,29,24,862,651,211,622,148,474,39,16,23,424,44,380,1,1,0,158,87,71,534,130,404,37,15,22,367,38,329,0,0,0,130,77,53,88,18,70,2,1,1,57,6,51,1,1,0,28,10,18,3203,1543,1660
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576463,0000,VILLAGE,Malyal,Rural,285,1209,628,581,159,96,63,306,168,138,0,0,0,655,414,241,554,214,340,619,350,269,413,309,104,98,75,23,104,64,40,0,0,0,211,170,41,206,41,165,1,0,1,122,24,98,57,2,55,26,15,11,177,38,139,1,0,1,117,23,94,38,1,37,21,14,7,29,3,26,0,0,0,5,1,4,19,1,18,5,1,4,590,278,312
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576464,0000,VILLAGE,Yavapur,Rural,108,450,239,211,63,34,29,3,3,0,369,192,177,206,135,71,244,104,140,227,119,108,159,97,62,38,28,10,44,14,30,2,1,1,75,54,21,68,22,46,6,3,3,46,8,38,0,0,0,16,11,5,49,15,34,3,2,1,37,6,31,0,0,0,9,7,2,19,7,12,3,1,2,9,2,7,0,0,0,7,4,3,223,120,103
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576465,0000,VILLAGE,Rangapuram,Rural,191,704,347,357,79,44,35,72,33,39,0,0,0,397,224,173,307,123,184,436,224,212,72,43,29,54,32,22,7,3,4,1,1,0,10,7,3,364,181,183,3,2,1,314,139,175,2,1,1,45,39,6,364,181,183,3,2,1,314,139,175,2,1,1,45,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,123,145
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576466,0000,VILLAGE,Ramlingampalle,Rural,350,1383,683,700,155,72,83,287,142,145,0,0,0,759,452,307,624,231,393,667,407,260,635,392,243,77,64,13,249,92,157,7,4,3,302,232,70,32,15,17,1,1,0,19,5,14,0,0,0,12,9,3,32,15,17,1,1,0,19,5,14,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,276,440
20,91,Bhongiri,Yadadri Bhuvanagiri,07,Bommalaramaram,576467,0000,VILLAGE,Pedda Parvathapur,Rural,220,1033,527,506,106,61,45,141,72,69,53,30,23,597,340,257,436,187,249,536,296,240,532,293,239,354,175,179,84,45,39,4,2,2,90,71,19,4,3,1,3,2,1,0,0,0,0,0,0,1,1,0,4,3,1,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,231,266
